was/VBD	(root,1) (was,1) (VBD,1) 
ill/JJ	(NN,2) (JJ,1) (cook,1) (root,1) (ill,1) (leido,1) (amod,1) (compound,1) 
myt/NN	(NN,2) (poison,1) (root,1) (myt,1) (compound,1) 
1:12:14/CD	(NNP,1) (CD,2) (root,1) (1:12:14,1) (leido,1) (PM,1) (compound,1) (dep,1) 
_/VBG	(NN,1) (root,1) (leido,1) (VBG,1) (amod,1) (_,1) 
an/DT	(NN,1) (DT,1) (det,1) (like,1) (VBP,1) (root,1) (dobj,1) (an,1) (situation,1) 
still/RB	(RB,1) (advmod,1) (still,1) (VBP,1) (root,1) (have,1) 
Alvin/NNP	(merienda,1) (NN,1) (NNP,1) (turned,1) (Alvin,1) (root,1) (VBD,1) (nsubj,1) (appos,1) 
own/JJ	(NN,1) (JJ,1) (VBP,1) (nmod:of,1) (root,1) (own,1) (have,1) (copy,1) (nsubj,1) 
kong/VBG	(VBP,1) (root,1) (VBG,1) (aso,1) (xcomp,1) (kong,1) 
data/NN	(NN,1) (checking,1) (sheets,1) (NNS,1) (data,1) (root,1) (VBD,1) (VBG,1) (imagined,1) (dobj,1) (compound,1) (xcomp,1) 
by/IN	(IN,1) (root,1) (by,1) (makes,1) (me,1) (nsubj,1) (case,1) (VBZ,1) (PRP,1) 
while/IN	(checking,1) (sipping,1) (IN,1) (root,1) (VBD,1) (VBG,2) (advcl,1) (imagined,1) (while,1) (xcomp,1) (mark,1) 
something/NN	(NN,1) (Mantra,1) (needed,1) (change,1) (parataxis,2) (do,1) (VB,2) (xcomp,1) (something,1) (NNP,1) (root,1) (VBD,1) (dobj,1) 
so/RB	(susunod,1) (RB,1) (advmod,1) (EX,1) (root,1) (there,1) (VB,1) (so,1) (xcomp,1) 
pox/NN	(NN,2) (acl:relcl,1) (VBN,1) (nmod:of,1) (had,1) (VB,1) (percent,1) (people,1) (NNS,1) (get,1) (root,1) (pox,1) (nsubj,1) (dobj,1) 
love/NN	(love,1) (NN,1) (VBN,1) (nmod:with,1) (root,1) (done,1) 
have/VBP	(VBP,1) (root,1) (have,1) 
ilusyon/NN	(NN,3) (root,1) (ilusyon,1) (bading,1) (compound,2) (sa,1) 
moment/NN	(NN,1) (nmod:at,1) (having,1) (csubj,1) (root,1) (VBG,1) (VB,1) (make,1) (moment,1) 
About/RB	(NN,1) (RB,1) (CD,1) (advmod,1) (nummod,1) (get,1) (root,1) (VB,1) (nsubj,1) (percent,1) (20,1) (About,1) 
ng/NNP	(NNP,2) (root,1) (VBD,1) (ng,1) (dobj,1) (compound,1) (MRT,1) (bayad,1) 
If-Then/JJ	(NN,1) (JJ,1) (like,1) (VBP,1) (root,1) (If-Then,1) (dobj,1) (amod,1) (situation,1) 
which/WDT	(NN,1) (which,1) (ref,1) (movie,1) (WDT,1) (root,1) 
i/NNPS	(NN,2) (VBP,1) (nmod:of,1) (root,1) (NNPS,1) (have,1) (i,1) (copy,1) (nsubj,1) (compound,1) (dont,1) 
whats/NNS	(NNS,2) (whats,1) (nmod:of,1) (writing,1) (root,1) (VBG,1) (updates,1) (dobj,1) 
topic/NN	(NN,1) (nmod:of,1) (going,1) (nmod:by,1) (acl,1) (updates,1) (NNS,2) (whats,1) (writing,1) (root,1) (topic,1) (VBG,2) (dobj,1) 
relationships/NNS	(relationships,1) (NNS,1) (having,1) (csubj,1) (root,1) (VBG,1) (VB,1) (dobj,1) (make,1) 
would/MD	(NNS,1) (VBN,1) (would,1) (VBP,1) (aux,1) (settled,1) (root,1) (MD,1) (have,1) (hopes,1) (dobj,1) (dep,1) 
and/CC	(Take,1) (CC,1) (cc,1) (and,1) (root,1) (VB,1) 
above/IN	(NN,1) (VBN,1) (nmod:with,1) (IN,1) (acl,1) (VB,2) (xcomp,1) (head,1) (NNS,1) (nmod:above,1) (root,1) (have,1) (above,1) (arms,1) (stand,1) (crossed,1) (case,1) 
ko/NN	(NN,2) (ko,1) (root,1) (bading,1) (compound,1) 
you/PRP	(expect,1) (root,1) (VB,1) (nsubj,1) (you,1) (PRP,1) 
title/NN	(NN,1) (nmod:as,1) (NNP,1) (ccomp,1) (root,1) (WEIRD,1) (VB,2) (nsubj,1) (title,1) (make,1) (seem,1) 
northbound/JJ	(JJ,1) (NNP,1) (root,1) (VBD,1) (dobj,1) (amod,1) (northbound,1) (MRT,1) (bayad,1) 
pounds/NNS	(NNS,1) (im,1) (pounds,1) (root,1) (VBG,1) (VB,1) (dobj,1) (xcomp,1) (losing,1) 
talaga/NN	(NN,3) (mukang,1) (root,1) (talaga,1) (VBG,2) (advcl,1) (taong,1) (acl,1) (dobj,1) (bading,1) (compound,1) (sa,1) 
!!!/NNS	(Take,1) (!!!,1) (NNS,1) (root,1) (say,1) (conj:and,1) (VB,2) (dobj,1) 
person/NN	(NN,1) (think,1) (ccomp,1) (like,1) (VBP,1) (person,1) (root,1) (VBD,1) (VB,1) (dobj,1) (met,1) (xcomp,1) 
mental/JJ	(NN,1) (JJ,1) (note,1) (root,1) (makes,1) (mental,1) (dobj,1) (amod,1) (VBZ,1) 
pumunta/NN	(NN,1) (VBP,1) (root,1) (pumunta,1) (nsubj,1) (sa,1) 
against/IN	(NNS,1) (VBP,1) (IN,1) (against,1) (root,1) (have,1) (hopes,1) (dobj,1) (case,1) 
automatic/JJ	(NN,1) (JJ,1) (like,1) (VBP,1) (root,1) (automatic,1) (dobj,1) (amod,1) (situation,1) 
checking/VBG	(checking,1) (root,1) (VBD,1) (VBG,1) (imagined,1) (xcomp,1) 
myself/PRP	(root,1) (myself,1) (VBD,1) (imagined,1) (dobj,1) (PRP,1) 
problema/VB	(root,1) (problema,1) (VB,1) (matapos,1) (xcomp,1) (VBZ,1) 
for/IN	(NNS,1) (IN,1) (root,1) (games,1) (for,1) (nmod:for,1) (us,1) (case,1) (PRP,1) 
ata/JJ	(halos,1) (JJ,1) (NNS,1) (VBP,1) (root,1) (ang,1) (nsubj,1) (amod,1) (ata,1) 
WEIRD/NNP	(NNP,1) (ccomp,1) (root,1) (WEIRD,1) (VB,2) (nsubj,1) (make,1) (seem,1) 
right/JJ	(NN,1) (JJ,1) (find,1) (root,1) (motivation,1) (right,1) (VB,1) (dobj,1) (amod,1) 
palang/VB	(nagisang,1) (VBP,1) (root,1) (palang,1) (VBG,1) (advcl,2) (aso,1) (VB,1) 
1:38:26/CD	(NNP,1) (CD,2) (1:38:26,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
way/NN	(NN,1) (root,1) ('s,1) (nsubj,1) (way,1) (VBZ,1) 
e./NN	(NN,2) (root,1) (e.,1) (bading,1) (compound,1) 
MUST/NN	(remember,1) (NN,1) (driving,1) (NNP,1) (root,1) (VBG,1) (nsubj,1) (MUST,1) (dep,1) 
attached/VBN	(NN,1) (NNS,1) (VBN,1) (strings,1) (root,1) (attached,1) (commitment,1) (acl,1) (appos,1) 
backseat/JJ	(NN,1) (JJ,1) (backseat,1) (root,1) (takes,1) (dobj,1) (amod,1) (VBZ,1) (willingly,1) 
years/NNS	(think,1) (like,1) (VBP,1) (nmod:npmod,1) (ago,1) (VB,1) (xcomp,1) (years,1) (RB,1) (advmod,1) (NNS,1) (ccomp,1) (root,1) (VBD,1) (met,1) 
Van/NNP	(NN,1) (NNP,2) (Van,1) (root,1) (Gogh,1) (list,1) (nsubj,1) (compound,1) 
taco/NN	(NN,2) (NNP,1) (root,1) (leido,1) (compound,2) (jack,1) (taco,1) 
easy/JJ	(JJ,1) (root,1) (easy,1) 
kami/NN	(kami,1) (NN,1) (NNP,1) (root,1) (VBD,1) (dobj,1) (compound,1) (MRT,1) (bayad,1) 
sa/VB	(VBP,1) (root,1) (VB,1) (sa,2) (xcomp,1) 
some/DT	(NN,1) (DT,1) (nmod:at,1) (some,1) (det,1) (get,1) (root,1) (time,1) (VB,1) 
they/PRP	(exist,1) (VBP,1) (root,1) (nsubj,1) (they,1) (PRP,1) 
out/RP	(compound:prt,1) (turned,1) (root,1) (VBD,1) (RP,1) (out,1) 
papuntang/VBG	(NNP,1) (VBP,1) (root,1) (Avenue,1) (papuntang,1) (VBG,1) (acl,1) (VB,1) (dobj,1) (sa,2) (xcomp,1) 
fine/JJ	(JJ,1) (ccomp,1) (VBP,1) (fine,1) (root,1) (e.,1) 
exam/NN	(NN,2) (exam,1) (performance,1) (VBP,1) (nmod:about,1) (root,1) (feel,1) (nmod:on,1) 
lives/NNS	(NNS,1) (lives,1) (get,1) (root,1) (nmod:during,1) (VB,1) 
up/RP	(NN,1) (expect,1) (compound:prt,1) (someone,1) (root,1) (advcl,1) (conj:and,1) (up,1) (VB,2) (walk,1) (RP,1) 
degree/NN	(NN,1) (ko,1) (VBP,1) (degree,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
friends/NNS	(merienda,1) (NN,1) (NNS,1) (turned,1) (nmod:of,1) (root,1) (VBD,1) (nsubj,1) (friends,1) 
Lush/NNP	(NNP,1) (nmod:from,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (Lush,1) (imagined,1) 
should/MD	(aux,1) (root,1) (MD,1) (should,1) (VB,1) (make,1) 
will/MD	(will,1) (aux,1) (get,1) (root,1) (MD,1) (VB,1) 
Pleasures/NNP	(took,1) (NNP,2) (root,1) (VBD,1) (i,1) (nsubj,1) (compound,1) (Pleasures,1) 
jack/VB	(NNP,1) (root,1) (leido,1) (VB,1) (jack,1) (dep,1) 
week/NN	(NN,2) (VBN,1) (middle,1) (week,1) (VBP,1) (nmod:by,1) (nmod:of,1) (settled,1) (dep,1) (NNS,1) (root,1) (have,1) (hopes,1) (dobj,1) 
wears/VBZ	(root,1) (wears,1) (VBZ,1) 
as/RB	(JJ,1) (RB,2) (advmod,2) (as,1) (ccomp,1) (root,1) (save,1) (VB,1) (easy,1) (much,1) 
What/WP	(expect,1) (root,1) (WP,1) (VB,1) (dobj,1) (What,1) 
same/JJ	(NN,1) (JJ,1) (same,1) (root,1) (feeling,1) (amod,1) 
listed/VBN	(NN,2) (nmod:at,1) (VBN,1) (nmod:of,1) (acl,2) (VB,2) (most,1) (JJS,1) (accomplish,1) (listed,1) (get,1) (root,1) (ive,1) (time,1) (dobj,1) 
chicken/NN	(NN,3) (acl:relcl,1) (chicken,1) (VBN,1) (nmod:of,1) (had,1) (VB,1) (percent,1) (people,1) (compound,1) (NNS,1) (get,1) (root,1) (pox,1) (nsubj,1) (dobj,1) 
losing/VBG	(im,1) (root,1) (VBG,1) (VB,1) (xcomp,1) (losing,1) 
papangalanan/JJ	(NN,1) (JJ,1) (ano,1) (ko,1) (VBP,1) (root,1) (papangalanan,1) (lang,1) (VB,1) (dobj,1) (amod,1) (xcomp,1) 
burn/VB	(expect,1) (burn,1) (root,1) (teach,1) (ask,1) (conj:and,1) (VB,4) (xcomp,2) 
Makati/NNP	(Makati,1) (NNP,1) (VBP,1) (root,1) (dobj,1) (sa,1) 
makakabili/NNS	(NN,1) (ano,1) (ko,1) (VBP,1) (VB,1) (amod,1) (makakabili,1) (xcomp,1) (kung,1) (NNS,1) (root,1) (VBG,1) (lang,1) (dobj,2) 
89.9/NNP	(NN,1) (listening,1) (NNP,1) (89.9,1) (root,1) (nmod:to,1) (VBG,1) (acl,1) (while,1) 
marks/NNS	(NN,2) (nmod:at,1) (nmod:of,1) (imagined,1) (marks,1) (pair,1) (xcomp,1) (jeans,1) (NNS,2) (sale,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (nmod:on,1) 
papers/NNS	(checking,1) (NNS,1) (root,1) (VBD,1) (VBG,1) (imagined,1) (dobj,1) (papers,1) (xcomp,1) 
ng/VBP	(ccomp,1) (VBP,2) (root,1) (ng,1) (sa,1) 
ka-batch/JJ	(NN,2) (JJ,1) (ko,1) (ka-batch,1) (root,1) (amod,1) (bading,1) (compound,1) 
12:58:42/CD	(NNP,1) (CD,2) (12:58:42,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
resolutions/NNS	(NN,1) (NNS,1) (nmod:of,1) (root,1) (resolutions,1) (list,1) 
merienda/NN	(merienda,1) (NN,1) (turned,1) (root,1) (VBD,1) (nsubj,1) 
won/VBN	(VBN,1) (ccomp,1) (VBP,1) (root,1) (won,1) (feel,1) 
sub-conscious/JJ	(manifestations,1) (minds,1) (JJ,1) (NNS,3) (nmod:poss,1) (sub-conscious,1) (nmod:of,1) (root,1) (desires,1) (amod,1) 
met/VBD	(think,1) (ccomp,1) (like,1) (VBP,1) (root,1) (VBD,1) (VB,1) (met,1) (xcomp,1) 
characterization/NN	(NN,2) (VBP,1) (root,1) (maggie,1) (ma-involve,1) (VB,1) (dobj,1) (characterization,1) (compound,1) (xcomp,1) (ba,1) 
It/PRP	(NN,1) (JJ,1) (root,1) (leido,1) (It,1) (amod,1) (nsubj,1) (good,1) (PRP,1) 
------------/NNS	(susunod,1) (NNS,1) (EX,1) (------------,1) (root,1) (there,1) (VB,1) (xcomp,1) (dep,1) 
look/VB	(JJ,1) (ccomp,1) (root,1) (VB,1) (easy,1) (look,1) 
nag-abang/NN	(NN,1) (nmod:at,1) (root,1) (VBD,1) (nag-abang,1) (bayad,1) 
jeans/NNS	(NN,1) (NNS,1) (ccomp,1) (nmod:of,1) (root,1) (buying,1) (VBD,1) (VBG,1) (imagined,1) (pair,1) (xcomp,1) (jeans,1) 
improve/VB	(VBP,1) (improve,1) (root,1) (hope,1) (VB,1) (xcomp,1) 
every/DT	(NN,2) (im,1) (come,1) (acl,1) (VB,2) (remember,1) (DT,1) (hoping,1) (det,1) (ccomp,2) (root,1) (VBG,1) (detail,1) (dobj,1) (every,1) 
pa/NN	(NN,2) (pa,1) (root,1) (bading,1) (compound,1) 
ma-titrigger/JJ	(NN,2) (JJ,1) (ko,1) (root,1) (amod,1) (bading,1) (compound,1) (ma-titrigger,1) 
quick/JJ	(merienda,1) (NN,1) (JJ,1) (quick,1) (turned,1) (root,1) (VBD,1) (nsubj,1) (amod,1) 
teacher/student/researcher/NN	(teacher,1) (student,1) (root,1) (try,1) (VB,1) (xcomp,1) 
argue/VB	(root,1) (argue,1) (VB,1) 
namatay/JJ	(NN,1) (JJ,1) (namatay,1) (root,1) (VBD,1) (ang,1) (nsubj,1) (amod,1) (bayad,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (list,1) 
down/RP	(NN,2) (nmod:at,1) (VBN,1) (compound:prt,1) (nmod:of,1) (acl,2) (VB,2) (down,1) (most,1) (JJS,1) (accomplish,1) (listed,1) (get,1) (root,1) (ive,1) (time,1) (dobj,1) (RP,1) 
exactly/RB	(JJ,1) (RB,1) (advmod,1) (im,1) (root,1) (VB,1) (lonely,1) (dobj,1) (exactly,1) 
last/VBP	(last,1) (VBP,1) (root,1) 
bumhood/JJ	(NN,2) (JJ,1) (im,1) (root,1) (acl,1) (bumhood,1) (day,1) (nmod:on,1) 
meron/NN	(NN,3) (meron,1) (root,1) (bading,1) (compound,2) (sa,1) 
_/JJ	(NN,1) (JJ,1) (root,1) (leido,1) (amod,1) (_,1) 
inspiration/NN	(NN,1) (find,1) (root,1) (inspiration,1) (VB,1) (dobj,1) 
need/NN	(RB,1) (NN,1) (need,1) (root,1) (dep,1) (Just,1) 
lol/NN	(NN,2) (root,1) (lol,1) (potsky,1) (dep,1) 
wala/NNP	(ko,1) (VBP,1) (wala,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,2) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
Tumawid/NNP	(NNP,2) (root,1) (VBD,1) (dobj,1) (Tumawid,1) (compound,1) (MRT,1) (bayad,1) 
motivation/NN	(NN,1) (find,1) (root,1) (motivation,1) (VB,1) (dobj,1) 
not/RB	(RB,1) (neg,1) (not,1) (root,1) (argue,1) (VB,1) 
go/VB	(VBN,1) (root,1) (supposed,1) (go,1) (VB,1) (xcomp,1) 
then/RB	(NN,1) (RB,1) (advmod,1) (taghorjix,1) (root,1) (then,1) 
commitment/NN	(NN,1) (root,1) (commitment,1) 
sure/JJ	(JJ,1) (sure,1) (im,1) (root,1) (VB,1) (xcomp,1) 
sense/NN	(NN,1) (unfolding,1) (root,1) (VBG,1) (sense,1) (nsubj,1) 
here/RB	(NN,1) (here,1) (RB,1) (advmod,1) (root,1) (list,1) 
appreciate/VB	(ccomp,1) (appreciate,1) (root,1) (VB,2) (make,1) 
senses/NNS	(NNS,1) (brought,1) (senses,1) (root,1) (VBD,1) (nmod:to,1) 
Jacque/NNP	(merienda,1) (NN,1) (NNP,1) (turned,1) (root,1) (VBD,1) (Jacque,1) (nsubj,1) (appos,1) 
quiz/NN	(quiz,1) (NN,1) (NNS,1) (VBP,1) (nmod:with,1) (root,1) (agree,1) (results,1) (compound,1) 
Ayala/NNP	(NN,1) (VBP,1) (acl,1) (VB,1) (compound,1) (sa,2) (xcomp,1) (NNP,2) (Ayala,1) (root,1) (Avenue,1) (station,1) (papuntang,1) (VBG,1) (dobj,2) 
like/IN	(NN,1) (like,1) (IN,1) (root,1) (feeling,1) (case,1) 
S./NNP	(ko,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,2) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (S.,1) (nsubj,1) (pang,1) 
hide/VB	(hide,1) (ccomp,1) (VBP,1) (root,1) (want,1) (makes,1) (VB,1) (xcomp,1) (VBZ,1) 
blood/NN	(NN,1) (root,1) (was,1) (VBD,1) (nsubj,1) (blood,1) 
weeks/NNS	(NNS,1) (weeks,1) (last,1) (VBP,1) (root,1) (nmod:for,1) 
siya/NN	(NN,2) (root,1) (siya,1) (bading,1) (compound,1) 
A/DT	(merienda,1) (NN,1) (DT,1) (A,1) (det,1) (turned,1) (root,1) (VBD,1) (nsubj,1) 
eternal/JJ	(NN,1) (JJ,1) (eternal,1) (truth,1) (root,1) (understand,1) (VB,1) (dobj,1) (amod,1) 
place/NN	(NN,1) (VBN,1) (VBP,1) (root,1) (feel,1) (filled,1) (conj:and,1) (place,1) (dobj,1) 
like/VBP	(like,1) (VBP,1) (root,1) 
updates/NNS	(NNS,1) (writing,1) (root,1) (VBG,1) (updates,1) (dobj,1) 
1853/CD	(NN,1) (NNP,1) (CD,2) (1853,1) (root,1) (Gogh,1) (1890,1) (list,1) (nsubj,1) (compound,1) (dep,1) 
have/VB	(root,1) (have,1) (VB,1) 
at/IN	(NN,1) (nmod:at,1) (at,1) (IN,1) (get,1) (root,1) (time,1) (VB,1) (case,1) 
may/MD	(susunod,1) (may,1) (aux,1) (root,1) (MD,1) (VB,1) 
mga/NN	(NN,1) (NNP,1) (ko,1) (VBP,1) (di,1) (mga,1) (root,1) (nsubj,1) (compound,1) 
kong/NN	(NN,1) (ko,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (kong,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
e./NNP	(NNP,2) (root,1) (VBD,1) (e.,1) (dobj,1) (compound,1) (MRT,1) (bayad,1) 
-----------------------------------------/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (din,1) (-----------------------------------------,1) (aso,1) (nsubj,1) (amod,1) 
B./NNP	(ko,1) (VBP,1) (VB,1) (B.,1) (compound,1) (xcomp,1) (dep,1) (NNP,2) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
i/NN	(NN,1) (NNS,1) (root,1) (Thanks,1) (VBD,1) (i,1) (received,1) (nsubj,1) (nmod:for,1) 
na/NNP	(NNP,2) (na,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) (compound,1) 
ako/NN	(NN,3) (ako,1) (root,1) (bading,1) (compound,2) (sa,1) 
on/IN	(NN,2) (im,1) (IN,1) (root,1) (day,1) (nmod:on,1) (case,1) (on,1) 
supposed/VBN	(VBN,1) (root,1) (supposed,1) 
day/NN	(NN,2) (im,1) (root,1) (day,1) (nmod:on,1) 
salads/NNS	(NN,1) (NNS,1) (salads,1) (root,1) (leido,1) (dep,1) 
shirt/NN	(NN,1) (shirt,1) (root,1) (wears,1) (dobj,1) (VBZ,1) 
sana/NN	(NN,1) (sana,1) (root,1) (nsubj,1) (matapos,1) (VBZ,1) 
*/SYM	(VBN,1) (SYM,1) (root,1) (supposed,1) (go,1) (advcl,1) (*,1) (VB,2) (xcomp,1) (research,1) (dep,1) 
our/PRP$	(manifestations,1) (minds,1) (NNS,3) (nmod:poss,2) (PRP$,1) (nmod:of,1) (root,1) (desires,1) (our,1) 
safer/VBZ	(safer,1) (root,1) (VBZ,1) 
cook/NN	(NN,2) (cook,1) (root,1) (leido,1) (compound,1) 
pair/NN	(NN,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (imagined,1) (pair,1) (xcomp,1) 
truth/NN	(NN,1) (truth,1) (root,1) (understand,1) (VB,1) (dobj,1) 
affairs/NNS	(NNS,1) (VBP,1) (root,1) (have,1) (nmod:for,1) (affairs,1) 
halos/NNS	(halos,1) (NNS,1) (VBP,1) (root,1) (ang,1) (nsubj,1) 
january/NNP	(NNP,1) (VBP,1) (january,1) (nmod:by,1) (improve,1) (root,1) (hope,1) (VB,1) (xcomp,1) 
side/NN	(NN,1) (NNP,1) (side,1) (root,1) (VBD,1) (dobj,1) (compound,1) (MRT,1) (bayad,1) 
Magic/NNP	(NN,1) (listening,1) (NNP,2) (89.9,1) (root,1) (Magic,1) (nmod:to,1) (VBG,1) (acl,1) (while,1) (compound,1) 
12:58:39/CD	(NNP,1) (CD,2) (root,1) (leido,1) (12:58:39,1) (PM,1) (compound,1) (dep,1) 
definietly/RB	(NN,1) (RB,1) (advmod,1) (root,1) (definietly,1) (benchmark,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (feeling,1) 
rico/NN	(NN,2) (NNP,1) (ko,1) (VBP,1) (di,1) (rico,1) (root,1) (yan,1) (nsubj,1) (compound,2) 
come/VB	(NN,1) (hoping,1) (ccomp,1) (im,1) (root,1) (VBG,1) (come,1) (acl,1) (VB,1) 
#/#	(NNP,1) (CD,1) (2,1) (#,2) (Mantra,1) (root,1) (amod,1) (compound,1) 
from/IN	(RB,1) (JJ,1) (advmod,1) (IN,1) (unfolding,1) (root,1) (VBG,1) (advcl,1) (from,1) (right,1) (case,1) (wrong,1) 
PM/CD	(NNP,1) (CD,1) (root,1) (leido,1) (PM,1) (dep,1) 
takes/VBZ	(root,1) (takes,1) (VBZ,1) 
positive/JJ	(NN,1) (JJ,1) (root,1) (have,1) (positive,1) (VB,1) (dobj,1) (amod,1) (attitude,1) 
rin/NN	(NN,2) (rin,1) (root,1) (bading,1) (compound,1) 
had/VBN	(NN,1) (acl:relcl,1) (NNS,1) (VBN,1) (nmod:of,1) (get,1) (root,1) (had,1) (VB,1) (nsubj,1) (percent,1) (people,1) 
aso/VBP	(VBP,1) (root,1) (aso,1) 
money/NN	(RB,1) (NN,2) (money,1) (need,1) (nmod:of,1) (root,1) (dep,1) (Just,1) 
today/NN	(NN,1) (nmod:tmod,1) (root,1) (today,1) (VBD,1) (received,1) 
symbolisms/NNS	(NN,2) (lots,1) (NNS,2) (poison,1) (nmod:of,2) (use,1) (root,1) (dep,1) (symbolisms,1) 
Starry/NNP	(NNP,2) (VBN,1) (Night,1) (nsubjpass,1) (root,1) (Starry,1) (done,1) (compound,1) 
deep/JJ	(Take,1) (breath,1) (NN,1) (JJ,1) (deep,1) (root,1) (VB,1) (dobj,1) (amod,1) 
si/NNP	(NNP,2) (VBP,1) (si,1) (root,1) (Filart,1) (VBG,1) (aso,1) (dobj,1) (compound,1) (xcomp,1) (kong,1) 
obsession/NN	(NN,1) (ccomp,1) (nmod:but,1) (VBP,1) (root,1) (want,1) (makes,1) (it,1) (dobj,1) (obsession,1) (VBZ,1) (PRP,1) 
maggie/NN	(NN,1) (VBP,1) (root,1) (maggie,1) (ma-involve,1) (VB,1) (dobj,1) (xcomp,1) (ba,1) 
is/VBZ	(VBN,1) (root,1) (auxpass,1) (is,1) (done,1) (VBZ,1) 
namin/NNP	(NNP,1) (namin,1) (VBP,1) (root,1) (nsubj,1) (sa,1) 
2004/CD	(NNP,1) (CD,1) (VBP,1) (january,1) (nmod:by,1) (2004,1) (nummod,1) (improve,1) (root,1) (hope,1) (VB,1) (xcomp,1) 
