word/NN	(NN,1) (root,1) (word,1) 
looked/VBN	(NN,1) (VBN,1) (looked,1) (root,1) (VBD,1) (acl,1) (nsubj,1) (got,1) (home,1) 
upshock/VBN	(VBN,1) (get,1) (root,1) (upshock,1) (conj:and,1) (VB,1) 
UGLY/NNP	(NNP,1) (root,1) (UGLY,1) (dobj,1) (says,1) (VBZ,1) 
noticed/VBN	(conj:but,1) (VBN,1) (VBP,1) (root,1) (noticed,1) (dont,1) 
stupid/JJ	(NN,1) (JJ,1) (give,1) (stupid,1) (VBP,1) (rule,1) (conj:and,1) (VB,1) (amod,1) (dep,1) (xcomp,1) (getting,1) (act,1) (trying,1) (root,1) (nmod:to,1) (VBG,2) 
another/DT	(NN,1) (DT,1) (det,1) (root,1) (another,1) (thing,1) 
looked/VBD	(looked,1) (root,1) (VBD,2) (got,1) (dep,1) 
late/JJ	(NN,1) (JJ,1) (late,1) (night,1) (root,1) (amod,1) 
for/IN	(IN,1) (writing,1) (root,1) (for,1) (VBG,1) (mark,1) 
estebitan/VBP	(estebitan,1) (VBP,1) (root,1) 
stop/VB	(acl:relcl,1) (NNS,1) (stop,1) (root,1) (ones,1) (VB,1) 
unirme/NN	(NN,1) (VBP,1) (yo,1) (root,1) (unirme,1) (dobj,1) 
Pizza/NNP	(NN,1) (death,1) (received,1) (VB,1) (got,1) (compound,1) (dep,1) (Pizza,1) (NNP,1) (torture,1) (ccomp,1) (root,1) (VBD,2) (dobj,1) 
up/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (auxpass,1) (filled,1) (up,1) ('s,1) (VBZ,1) 
years/NNS	(NN,1) (acl:relcl,1) (chance,1) (enjoy,1) (VB,2) (years,1) (VBZ,1) (NNS,1) (ccomp,1) (Tell,1) (root,1) (advcl,1) (has,1) (dobj,1) 
too/RB	(but,1) (CC,1) (cc,1) (RB,1) (advmod,1) (VBP,1) (too,1) (root,1) (dont,1) 
more/RBR	(JJ,1) (advmod,1) (NNS,1) (RBR,1) (more,1) (root,1) (VBD,1) (had,1) (dobj,1) (compound,1) (couches,1) (grey,1) 
carving/NN	(NN,1) (root,1) (VBD,1) (had,1) (carving,1) (nsubj,1) 
work/VB	(JJ,1) (sure,1) (ccomp,1) (im,1) (VBP,1) (work,1) (root,1) (VB,1) (xcomp,1) 
some/DT	(NN,1) (DT,1) (some,1) (NNS,1) (det,1) (nmod:with,1) (root,1) (label,1) (clothes,1) 
they/PRP	(NN,1) (made,1) (root,1) (VBD,1) (man,1) (nsubj,1) (dep,1) (they,1) (PRP,1) 
out/RP	(compound:prt,1) (root,1) (comes,1) (RP,1) (VBZ,1) (out,1) 
actually/RB	(NN,1) (acl:relcl,1) (actually,1) (RB,1) (advmod,1) (VBN,1) (im,1) (sanded,1) (VBP,1) (root,1) (one,1) (dobj,1) 
small/JJ	(NN,1) (small,1) (JJ,1) (NNS,1) (tv,1) (root,1) (VBD,1) (had,1) (dobj,1) (amod,1) (compound,1) (couches,1) 
sid/NN	(NN,1) (root,1) (VBD,2) (nmod:to,1) (had,1) (conj:and,1) (ran,1) (sid,1) 
School/NNP	(NN,1) (NNP,1) (School,1) (told,1) (root,1) (VBD,1) (nsubj,1) (dep,1) (fraction,1) 
exam/NN	(NN,1) (study,1) (?!,1) (VBP,2) (IN,1) (parataxis,2) (nmod:for,1) (compound,1) (off,1) (exam,1) (NNS,1) (root,1) (^,1) 
Funeral/NNP	(NNP,2) (Soundtrack,1) (root,1) (parataxis,1) (compound,1) (tracks,1) (VBZ,1) (Funeral,1) 
up/RP	(VBN,1) (compound:prt,1) (VBP,1) (root,1) (know,1) (parataxis,1) (fucked,1) (up,1) (RP,1) 
migrate/VBD	(root,1) (VBD,1) (migrate,1) 
resolution/NN	(NN,1) (root,1) (was,1) (VBD,1) (resolution,1) (dep,1) 
se/JJ	(NN,4) (acl:relcl,1) (JJ,1) (construccion,1) (afueras,1) (ustedes,1) (amod,1) (suyo,1) (appos,2) (VBZ,2) (caballito,1) (se,1) (root,1) (volviendo,1) (nsubj,1) (dobj,1) 
friends/NNS	(NN,1) (CD,1) (NNS,1) (nummod,1) (nmod:of,1) (root,1) (one,1) (word,1) (friends,1) 
should/MD	(VBN,1) (aux,1) (root,1) (MD,1) (should,1) (seen,1) 
jpg/VB	(jpg,1) (ccomp,1) (wrote,1) (root,1) (VBD,1) (VB,1) 
exact/JJ	(NN,1) (JJ,1) (shape,1) (root,1) (exact,1) (VBD,1) (had,1) (dobj,1) (amod,1) 
will/MD	(NN,1) (will,1) (aux,1) (root,1) (MD,1) (blog,1) 
pizza/NN	(NN,1) (ate,1) (pizza,1) (root,1) (VBD,2) (dobj,1) (got,1) (dep,1) 
site/NN	(NN,2) (give,1) (site,1) (VBP,1) (work,1) (root,1) (nsubj,1) (compound,1) 
PUTAS/NNP	(NNP,2) (NNS,1) (okei,1) (root,1) (compound,1) (!?,1) (appos,1) (PUTAS,1) 
same/JJ	(NN,1) (JJ,1) (same,1) (shape,1) (root,1) (VBD,1) (had,1) (dobj,1) (amod,1) 
irritates/VBZ	(root,1) (irritates,1) (VBZ,1) 
TV/NN	(NN,1) (TV,1) (nmod:around,1) (root,1) (VBD,1) (had,1) 
Expert/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (Expert,1) (VBG,1) (Do,1) (nsubj,1) (amod,1) (choking,1) (dep,1) (textpert,1) 
menace/JJ	(JJ,1) (NNP,1) (VBN,1) (caused,1) (root,1) (Sadr,1) (nmod:agent,1) (amod,1) (menace,1) 
listen/VB	(root,1) (VB,1) (listen,1) 
^/VBP	(VBP,1) (root,1) (^,1) 
ver/NN	(NN,2) (NNS,1) (ver,1) (ccomp,1) (root,1) (escaleras,1) (ustedes,1) (al,1) (dobj,1) (compound,2) (VBZ,2) (las,1) 
n't/RB	(RB,1) (neg,1) (VBP,1) (root,1) (n't,1) (Do,1) 
twin/NNP	(listening,1) (aphex,1) (conj:and,1) (VB,4) (xcomp,2) (NNP,1) (ccomp,1) (get,1) (root,1) (VBG,1) (let,1) (nsubj,1) (make,1) (twin,1) 
mean/VBP	(VBP,1) (mean,1) (root,1) 
que/NN	(NN,2) (que,1) (VBP,1) (yo,1) (root,1) (nmod:en,1) (nsubj,1) (algo,1) 
WHY/CD	(CD,1) (study,1) (?!,1) (VBP,2) (IN,1) (nummod,1) (WHY,1) (parataxis,2) (nmod:for,1) (off,1) (NNS,1) (root,1) (^,1) 
near/IN	(NN,2) (VBN,1) (read,1) (VBP,1) (learned,1) (IN,1) (nmod:near,1) (VB,1) (xcomp,1) (bye,1) (moment,1) (nmod:in,1) (root,1) (advcl,1) (time,1) (near,1) (case,1) 
O/NNP	(JJ,1) (screwed,1) (NNP,1) (VBN,1) (ccomp,1) (yea,1) (root,1) (nmod,1) (VB,1) (dep,1) (little,1) (O,1) 
It/PRP	(VBN,1) (nsubjpass,1) (root,1) (filled,1) (It,1) (PRP,1) 
bye/VBP	(VBP,1) (root,1) (bye,1) 
few/JJ	(JJ,1) (NNS,1) (root,1) (ones,1) (few,1) (nsubj,1) 
Underworld/NNP	(NNP,1) (found,1) (ccomp,1) (Underworld,1) (sells,1) (root,1) (VBD,1) (dobj,1) (VBZ,1) 
They/PRP	(NN,1) (Company,1) (root,1) (nsubj,1) (They,1) (PRP,1) 
al/VBZ	(ccomp,1) (root,1) (ustedes,1) (al,1) (VBZ,2) 
oh/UH	(ccomp,1) (UH,1) (VBP,1) (root,1) (VBD,1) (oh,1) (heard,1) (doesnt,1) (discourse,1) 
gave/VBD	(root,1) (VBD,2) (gave,1) (got,1) (dep,1) 
pesticide/NN	(acl:relcl,1) (NN,1) (manufacture,1) (NNS,1) (VBP,2) (nmod:about,1) (pesticide,1) (root,1) (know,1) (factories,1) (dobj,1) 
every/DT	(NN,1) (DT,1) (det,1) (root,1) (VBD,1) (had,1) (carving,1) (nsubj,1) (every,1) 
palms/NNS	(NN,1) (NNS,1) (VBP,1) (nmod:with,1) (mean,1) (root,1) (palms,1) (dobj,1) (house,1) 
bunch/NN	(NN,1) (root,1) (bunch,1) (dobj,1) (scks,1) (VBZ,1) 
NO/NNP	(NNP,2) (NO,1) (NNS,1) (okei,1) (root,1) (compound,1) (!?,1) (appos,1) 
quick/JJ	(JJ,1) (NNS,1) (quick,1) (get,1) (root,1) (conj:and,1) (noises,1) (VB,2) (dobj,1) (amod,1) (make,1) 
says/VBZ	(root,1) (says,1) (VBZ,1) 
MORE/JJR	(NN,1) (MORE,1) (ate,1) (pizza,1) (JJR,1) (root,1) (VBD,2) (dobj,1) (amod,1) (got,1) (dep,1) 
Policeman/NNP	(NNP,1) (root,1) (Policeman,1) 
ate/VBD	(ate,1) (root,1) (VBD,2) (got,1) (dep,1) 
worst/JJS	(NN,2) (think,1) (JJS,1) (VBP,1) (root,1) (hypocrisy,1) (worst,1) (dobj,1) (amod,1) (dep,1) (combination,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (label,1) 
content/NN	(NN,1) (NNP,1) (root,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (compound,1) (tracks,1) (content,1) (VBZ,1) 
down/RP	(compound:prt,1) (writing,1) (root,1) (VBG,1) (down,1) (RP,1) 
1:30:00/CD	(NN,1) (CD,1) (root,1) (sat,1) (VBD,2) (nmod:like,1) (1:30:00,1) (dobj,1) (got,1) (dep,1) (lor,1) 
like/JJ	(NN,1) (JJ,1) (like,1) (root,1) (VBD,1) (had,1) (dobj,1) (amod,1) (ve,1) 
doesnt/VBP	(VBP,1) (root,1) (doesnt,1) 
de/IN	(NN,3) (acl:relcl,1) (de,1) (construccion,1) (afueras,1) (IN,1) (ustedes,1) (amod,1) (suyo,1) (appos,1) (VBZ,2) (root,1) (volviendo,1) (nsubj,1) (dobj,1) 
caballito/NN	(NN,4) (acl:relcl,1) (construccion,1) (afueras,1) (ustedes,1) (suyo,1) (appos,2) (VBZ,2) (caballito,1) (root,1) (volviendo,1) (nsubj,1) (dobj,1) 
mouth/NN	(NN,1) (conj:but,1) (mouth,1) (VBP,1) (root,1) (dont,1) 
newspaper/NN	(NN,2) (newspaper,1) (VBP,1) (want,1) (root,1) (nsubj,1) (compound,1) (dont,1) 
hes/VBP	(VBP,1) (hes,1) (root,1) 
not/RB	(RB,1) (neg,1) (not,1) (VBN,1) (root,1) (scared,1) 
go/VB	(wan,1) (VBP,1) (root,1) (go,1) (VB,1) (xcomp,1) 
then/RB	(RB,1) (advmod,1) (VBN,1) (VBP,1) (root,1) (know,1) (parataxis,1) (fucked,1) (then,1) 
loose/JJ	(listening,1) (NN,1) (JJ,1) (aphex,1) (conj:and,1) (VB,4) (amod,1) (xcomp,2) (ccomp,1) (get,1) (root,1) (loose,1) (VBG,1) (let,1) (dobj,1) (make,1) (mix,1) 
dont/RB	(VBN,1) (VBP,1) (i,1) (acl,1) (VB,1) (RB,1) (FW,1) (advmod,1) (ccomp,1) (root,1) (know,1) (nsubj,1) (moan,1) (dont,2) 
sure/JJ	(JJ,1) (sure,1) (im,1) (VBP,1) (root,1) (xcomp,1) 
class/NN	(NN,4) (im,1) (VBP,1) (one,1) (nmod:before,1) (acl,1) (VB,1) (dep,1) (nmod:in,1) (hour,1) (someone,1) (root,1) (finish,1) (dobj,1) (class,1) 
Fuels/NNP	(NNP,1) (VBP,1) (root,1) (Fuels,1) (dobj,1) (urlLink,1) 
avy/NN	(NN,2) (avy,1) (received,1) (pic,1) (VB,1) (got,1) (compound,1) (dep,1) (torture,1) (ccomp,1) (root,1) (VBD,2) (nsubj,1) 
Company/NN	(NN,1) (Company,1) (root,1) 
birds/NNS	(NNS,1) (root,1) (VBD,1) (birds,1) (nsubj,1) (migrate,1) 
like/IN	(DT,1) (that,1) (ccomp,1) (VBP,1) (like,1) (IN,1) (root,1) (know,1) (case,1) 
chance/NN	(NN,1) (ccomp,1) (chance,1) (Tell,1) (root,1) (enjoy,1) (advcl,1) (has,1) (VB,2) (dobj,1) (VBZ,1) 
place/NN	(NN,2) (nmod:about,1) (root,1) (lets,1) (talk,1) (place,1) (nsubj,1) (VBZ,1) 
start/VB	(conj:but,1) (VBP,1) (root,1) (start,1) (VB,1) (shouldve,1) 
like/VBP	(like,1) (VBP,1) (root,1) 
cool/JJ	(NN,1) (JJ,1) (root,1) (cool,1) (man,1) (amod,1) 
have/VB	(VBN,1) (aux,1) (root,1) (have,1) (VB,1) (seen,1) 
funeral/NN	(NN,1) (nmod:in,1) (get,1) (root,1) (funeral,1) (VB,1) 
box/NN	(NN,2) (root,1) (sez,1) (parataxis,1) (box,1) (compound,1) (tracks,1) (VBZ,1) 
at/IN	(at,1) (VBP,1) (IN,1) (root,1) (know,1) (nsubj,1) (you,1) (case,1) (PRP,1) 
Tilio/NNP	(NNP,1) (told,1) (root,1) (VBD,1) (Tilio,1) (nsubj,1) 
couches/NNS	(NNS,1) (root,1) (VBD,1) (had,1) (dobj,1) (couches,1) 
talk/VB	(wan,1) (VBP,1) (root,1) (talk,1) (VB,1) (xcomp,1) 
finding/VBG	(root,1) (VBD,1) (VBG,1) (advcl,1) (finding,1) (migrate,1) 
i/NN	(NN,2) (VBP,1) (want,1) (root,1) (i,1) (nsubj,1) (compound,1) (dont,1) 
esta/NN	(NN,2) (unificar,1) (esta,1) (VBP,1) (root,1) (genercion,1) (dobj,1) (compound,1) 
PRETTY/NNP	(NNP,2) (PRETTY,1) (root,1) (UGLY,1) (dobj,1) (says,1) (compound,1) (VBZ,1) 
doc/NN	(NN,1) (VBP,1) (root,1) (doc,1) (nsubj,1) (urlLink,1) 
on/IN	(VBP,1) (IN,1) (mean,1) (root,1) (nmod,1) (on,1) 
man/NN	(NN,1) (root,1) (man,1) 
day/NN	(sits,1) (NN,1) (nmod:tmod,1) (root,1) (day,1) (VBZ,1) 
ant/NN	(NN,2) (acl:relcl,1) (making,1) (ant,1) (root,1) (nmod:like,1) (VBG,1) (thing,1) 
shirt/NN	(NN,1) (shirt,1) (root,1) (VBD,2) (cleaned,1) (dobj,1) (got,1) (dep,1) 
mi/NN	(NN,1) (de,1) (NNP,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (mi,1) (compound,1) 
kid/NN	(NN,1) (like,1) (VBP,1) (root,1) (kid,1) (dobj,1) 
Flash/NNP	(NN,1) (assignments,1) (im,1) (VBP,1) (one,1) (acl,1) (VB,1) (compound,1) (NNP,1) (NNS,1) (root,1) (finish,1) (dobj,2) (Flash,1) 
black/JJ	(JJ,1) (NNS,1) (root,1) (black,1) (dobj,1) (amod,1) (says,1) (people,1) (VBZ,1) 
that/WDT	(that,1) (NNS,1) (ref,1) (WDT,1) (root,1) (ones,1) 
Twin/NNP	(CD,1) (NNP,2) (VBN,1) (root,1) (auxpass,1) (filled,1) ('s,1) (nsubj,1) (compound,1) (VBZ,1) (Twin,1) 
let/VB	(listening,1) (ccomp,1) (get,1) (root,1) (aphex,1) (VBG,1) (let,1) (conj:and,1) (VB,4) (make,1) (xcomp,2) 
had/VBD	(root,1) (VBD,1) (had,1) 
4:50/CD	(CD,1) (nmod:at,1) (root,1) (VBD,1) (4:50,1) (got,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (thing,1) 
talked/VBD	(talked,1) (root,1) (VBD,2) (got,1) (dep,1) 
ever/RB	(RB,1) (ever,1) (advmod,1) (move,1) (root,1) (conj:and,1) (VB,1) (says,1) (VBZ,1) 
joker/NN	(NN,2) (acl:relcl,1) (root,1) (joker,1) (laughs,1) (nsubj,1) (thing,1) (VBZ,1) 
everyone/NN	(NN,3) (acl:relcl,1) (making,1) (everyone,1) (root,1) (VBG,1) (dobj,1) (thing,1) (look,1) (compound,1) 
sucks/VBZ	(sucks,1) (ccomp,1) (root,1) (says,1) (VBZ,2) 
roar/NN	(NN,2) (told,1) (root,1) (me,1) (VBD,1) (roberto,1) (roar,1) (dobj,1) (nsubj,1) (compound,1) (PRP,1) 
why/WRB	(ccomp,1) (VBP,1) (WRB,1) (root,1) (know,1) (why,1) (VB,1) (dont,1) (xcomp,1) 
money/NN	(NN,3) (give,1) (money,1) (VBP,1) (work,1) (root,1) (nsubj,1) (compound,2) (doesnt,1) 
today/NN	(NN,1) (discovered,1) (nmod:tmod,1) (root,1) (today,1) (VBD,1) 
Consumism/NNP	(NN,1) (Consumism,1) (NNP,1) (root,1) (nsubj,1) (thing,1) 
full/JJ	(JJ,1) (root,1) (VBD,1) (dobj,1) (got,1) (full,1) 
deep/JJ	(getting,1) (JJ,1) (give,1) (deep,1) (VBP,1) (root,1) (VBG,1) (conj:and,1) (dep,1) 
enjoy/VB	(ccomp,1) (Tell,1) (root,1) (enjoy,1) (VB,2) 
room/NN	(but,1) (CC,1) (cc,1) (NN,2) (acl:relcl,1) (VBP,2) (conj,1) (part,1) (rememner,1) (room,1) (ccomp,1) (root,1) (dont,1) 
around/IN	(discovered,1) (IN,1) (root,1) (VBD,1) (them,1) (dobj,1) (around,1) (case,1) (PRP,1) 
daddy/RB	(RB,1) (advmod,1) (daddy,1) (root,1) (says,1) (VBZ,1) 
fly/VBP	(See,1) (fly,1) (ccomp,1) (VBP,1) (root,1) (VB,1) 
is/VBZ	(NN,1) (cop,1) (root,1) (is,1) (thing,1) (VBZ,1) 
because/IN	(im,1) (VBP,1) (IN,1) (root,1) (because,1) (mark,1) 
kicking/VBG	(kicking,1) (VBN,1) (root,1) (VBG,1) (seen,1) (dep,1) 
arms/NNS	(but,1) (CC,1) (cc,1) (NN,1) (acl:relcl,1) (rest,1) (VBP,2) (conj,1) (part,1) (NNS,1) (root,1) (arms,1) (dobj,1) (dont,1) 
hypocrisy/NN	(NN,1) (think,1) (VBP,1) (root,1) (hypocrisy,1) (dobj,1) 
So/IN	(tries,1) (IN,1) (root,1) (So,1) (dep,1) (VBZ,1) 
am/VBP	(VBP,1) (aux,1) (writing,1) (root,1) (VBG,1) (am,1) 
lies/NNS	(NNS,1) (root,1) (lies,1) (VB,1) (listen,1) (dep,1) 
very/RB	(NN,1) (small,1) (JJ,1) (very,1) (tv,1) (had,1) (amod,1) (compound,1) (couches,1) (RB,1) (advmod,1) (NNS,1) (root,1) (VBD,1) (dobj,1) 
smokers/NNS	(NNS,1) (VBP,1) (root,1) (VBG,1) (Do,1) (smokers,1) (dobj,1) (choking,1) (dep,1) 
shape/NN	(NN,1) (shape,1) (root,1) (VBD,1) (had,1) (dobj,1) 
he/PRP	(root,1) (nsubj,1) (says,1) (he,1) (VBZ,1) (PRP,1) 
gaia/NN	(NN,1) (gaia,1) (VBN,1) (root,1) (VBD,1) (got,1) (bored,1) (nmod:on,1) (xcomp,1) 
dad/NN	(NN,1) (dad,1) (root,1) (sat,1) (VBD,2) (nsubj,1) (got,1) (dep,1) 
dont/NN	(NN,1) (VBP,1) (want,1) (root,1) (nsubj,1) (dont,1) 
none/NN	(DT,1) (NN,1) (that,1) (ccomp,1) (VBP,1) (root,1) (know,1) (none,1) (nsubj,1) 
doesnt/NN	(NN,2) (give,1) (VBP,1) (work,1) (root,1) (nsubj,1) (compound,1) (doesnt,1) 
roberto/NN	(NN,1) (told,1) (root,1) (me,1) (VBD,1) (roberto,1) (dobj,1) (nsubj,1) (PRP,1) 
jaja/NNP	(NNP,2) (root,1) (UGLY,1) (dobj,1) (says,1) (compound,1) (VBZ,1) (jaja,1) 
