was/VBD	(root,1) (was,1) (VBD,1) 
hurt/VBN	(NN,1) (VBN,1) (root,1) (acl,1) ('s,1) (nsubj,1) (potential,1) (hurt,1) (VBZ,1) 
Health/NNP	(NNP,1) (VBN,1) (Health,1) (nsubjpass,1) (root,1) (ok,1) 
will/MD	(call,1) (ccomp,1) (VBP,1) (will,1) (aux,1) (root,1) (MD,1) (know,1) (VB,1) 
thank/VB	(ccomp,1) (wan,1) (needed,1) (root,1) (felt,1) (VBD,2) (thank,1) (parataxis,1) (VB,2) (xcomp,1) 
back/NN	(NN,1) (NNP,1) (nmod:in,1) (root,1) (Right,1) (back,1) 
as/RB	(RB,1) (advmod,1) (as,1) (joined,1) (root,1) (VBD,1) 
her/PRP	(her,1) (aux,1) (root,1) (VBD,1) (nmod:to,1) (VB,1) (write,1) (did,1) (PRP,1) 
Nikki/NNP	(NNP,2) (Nikki,1) (MC,1) (root,1) (appos,1) 
listen/VB	(VBP,1) (tell,1) (root,1) (conj:and,1) (VB,1) (listen,1) 
complained/VBN	(VBN,1) (culd,1) (VBP,1) (root,1) (complained,1) (VBD,1) (parataxis,1) (complain,1) (dep,1) 
n't/RB	(RB,1) (neg,1) (root,1) (n't,1) (VB,1) (write,1) 
X/NNP	(NNP,1) (VBP,1) (root,1) (X,1) (nsubj,1) (o,1) 
mean/VBP	(extremely,1) (ccomp,1) (VBP,1) (mean,1) (root,1) (VBG,1) 
've/VBP	(NN,1) (VBN,1) (ccomp,1) (test,1) (VBP,1) (aux,1) ('ve,1) (root,1) (taken,1) 
It/PRP	(get,1) (root,1) (It,1) (nsubj:xsubj,1) (VB,1) (PRP,1) 
6/CD	(NNP,1) (CD,1) (NNS,1) (nummod,1) (MC,1) (6,1) (root,1) (people,1) (dep,1) 
look/VB	(root,1) (go,1) (VB,2) (look,1) (dep,1) 
days/NNS	(CD,1) (NNS,1) (nmod:of,1) (one,1) (root,1) (days,1) 
upset/JJ	(JJ,1) (upset,1) (ccomp,1) (tell,1) (root,1) (VB,1) 
anti-social/RB	(RB,1) (advmod,1) (VBP,1) (want,1) (root,1) (do,1) (VB,1) (anti-social,1) (xcomp,1) 
says/VBZ	(needs,1) (ccomp,1) (root,1) (VB,1) (says,1) (xcomp,1) (VBZ,2) (realize,1) 
stay/VB	(went,1) (root,1) (VBD,1) (VB,1) (xcomp,1) (stay,1) 
entries/NNS	(entries,1) (NNS,1) (ccomp,1) (:-RRB-,1) (root,1) (VB,2) (nmod:for,1) (apologize,1) 
a/DT	(!!,1) (NN,1) (DT,1) (a,1) (det,1) (root,1) 
exhausted/JJ	(NN,1) (JJ,1) (root,1) (exhausted,1) (right,1) (amod,1) 
though/RB	(RB,1) (advmod,1) (though,1) (root,1) (go,1) (VB,1) 
exactly/RB	(RB,1) (NNP,1) (advmod,1) (root,1) (Bible,1) (was,1) (VBD,1) (parataxis,1) (exactly,1) 
like/JJ	(JJ,1) (NNP,1) (like,1) (MC,1) (root,1) (conj:and,1) 
fun/NN	(NN,1) (root,1) (fun,1) 
wont/JJ	(JJ,1) (VBP,1) (want,1) (root,1) (wont,1) (dep,1) 
Kel/NNP	(NNP,1) (went,1) (Kel,1) (root,1) (VBD,1) (nmod:'s,1) 
plan/NN	(RB,1) (NN,1) (advmod,1) (need,1) (VBP,1) (too,1) (nmod:npmod,1) (root,1) (plan,1) 
not/RB	(RB,1) (neg,1) (not,1) (root,1) (go,1) (VB,1) 
figure/VB	(figure,1) (VBP,1) (get,1) (root,1) (conj:and,1) (VB,1) 
??/NNS	(NN,1) (??,1) (NNS,1) (nmod:in,1) (root,1) (go,1) (yearbook,1) (VB,2) (look,1) (dep,1) (appos,1) 
go/VB	(root,1) (go,1) (VB,1) 
Mr./NNP	(NNP,2) (NCHS,1) (aux,1) (root,1) (Mr.,1) (VBD,1) (VB,1) (nmod:for,1) (write,1) (compound,1) (did,1) 
then/RB	(RB,1) (advmod,1) (root,1) (came,1) (VBD,1) (then,1) 
class/NN	(NN,1) (root,1) (class,1) 
right/NN	(NN,1) (root,1) (right,1) 
tell/VBP	(VBP,1) (tell,1) (root,1) 
shortly/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (put,1) (shortly,1) 
$/$	(VBN,1) ($,2) (root,1) (reduced,1) (nmod:to,1) (VB,1) (make,1) (xcomp,1) 
here/RB	(here,1) (RB,1) (nmod:in,1) (VBP,1) (root,1) (complain,1) 
!!!!!!!!!!!/VBZ	(root,1) (!!!!!!!!!!!,1) (VBZ,1) 
like/IN	(VBP,1) (like,1) (IN,1) (root,1) (have,1) (mark,1) 
cool/JJ	(JJ,1) (root,1) (cool,1) ('s,1) (xcomp,1) (VBZ,1) 
have/VB	(JJ,1) (aux,1) (root,1) (have,1) (VB,1) (good,1) 
stopped/VBD	(stopped,1) (drove,1) (root,1) (VBD,2) (conj:and,1) 
came/VBD	(root,1) (came,1) (VBD,1) 
at/IN	(NN,1) (at,1) (IN,1) (root,1) (came,1) (VBD,1) (dobj,1) (case,1) (home,1) 
ankle/NN	(NN,1) (went,1) (root,1) (VBD,1) (nsubj,1) (ankle,1) 
may/MD	(may,1) (aux,1) (root,1) (MD,1) (go,1) (VB,1) 
might/MD	(aux,1) (might,1) (root,1) (MD,1) (VB,1) (make,1) 
talk/VB	(ccomp,1) (wan,1) (needed,1) (root,1) (felt,1) (VBD,2) (parataxis,1) (talk,1) (VB,2) (xcomp,1) 
on/IN	(NNS,1) (killers,1) (IN,1) (root,1) (case,1) (on,1) 
sound/NN	(NN,1) (made,1) (root,1) (sound,1) (VBD,1) (dobj,1) 
day/NN	(!!,1) (NN,2) (root,1) (day,1) (compound,1) 
7/CD	(CD,1) (NNS,1) (VBN,1) (nmod:with,1) (nummod,1) (counts,1) (root,1) (7,1) (charged,1) 
Three/CD	(Numero,1) (NNP,1) (CD,1) (need,1) (VBP,1) (nummod,1) (root,1) (nmod:for,1) (Three,1) 
McDonald/NNP	(McDonald,1) (NNP,1) (stopped,1) (drove,1) (root,1) (VBD,2) (nmod:'s,1) (conj:and,1) 
our/PRP$	(NN,1) (brought,1) (nmod:in,1) (PRP$,1) (nmod:poss,1) (root,1) (VBD,1) (our,1) (conversation,1) 
pair/NN	(NN,1) (root,1) (VBD,1) (dobj,1) (got,1) (pair,1) 
changing/VBG	(root,1) (VBG,1) (changing,1) 
wan/VB	(wan,1) (root,1) (VB,1) 
that/WDT	(JJ,1) (think,1) (that,1) (VBP,1) (thankful,1) (WDT,1) (root,1) (parataxis,1) (nmod:for,1) 
honest/JJ	(JJ,1) (need,1) (VBP,1) (root,1) (honest,1) (xcomp,1) 
had/VBD	(VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (seen,1) 
babysitting/VBG	(babysitting,1) (root,1) (I,1) (VBG,1) (acl,1) (VB,1) (nsubj,1) (write,1) (PRP,1) 
went/VBD	(went,1) (root,1) (VBD,1) 
feelin/NN	(NN,2) (nmod:poss,1) (feelin,1) (root,1) (right,1) 
Catie/NNP	(NNP,1) (root,1) (!!!!!!!!!!!,1) (nmod:to,1) (VBZ,1) (Catie,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (right,1) 
ever/RB	(NN,1) (RB,1) (ever,1) (advmod,1) (VBN,1) (ccomp,1) (test,1) (root,1) (taken,1) 
come/VB	(VBP,1) (root,1) (have,1) (come,1) (VB,1) (xcomp,1) 
everyone/NN	(NN,1) (everyone,1) (root,1) (VBD,1) (dobj,1) (jammed,1) 
from/IN	(NNP,2) (nmod:from,1) (NNS,1) (IN,1) (MC,1) (root,1) (from,1) (Benet,1) (people,1) (dep,1) (case,1) 
why/WRB	(advmod,1) (VBP,1) (WRB,1) (root,1) (why,1) (complain,1) 
stopped/VBN	(wish,1) (stopped,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) 
matter/RB	(NN,1) (RB,1) (advmod,1) (VBP,1) (root,1) (have,1) (time,1) (dobj,1) (matter,1) 
today/NN	(!!,1) (NN,2) (root,1) (today,1) (nsubj,1) 
questions/NNS	(NNS,1) (root,1) (questions,1) (VB,1) (nsubj,1) (make,1) 
+/VBG	(but,1) (CC,1) (NN,1) (advmod,1) (NNS,1) (conj,1) (root,1) (Cat,1) (VBG,1) (+,1) (amod,1) (kids,1) 
:-RRB-/VB	(:-RRB-,1) (root,1) (VB,1) 
consequences/NNS	(NN,1) (NNS,1) (aux,1) (weekend,1) (root,1) (consequences,1) (has,1) (dobj,1) (VBZ,1) 
She/PRP	(She,1) (knew,1) (root,1) (VBD,1) (nsubj,1) (PRP,1) 
graded/VBD	(aux,1) (root,1) (VBD,2) (graded,1) (advcl,1) (VB,1) (write,1) (did,1) 
is/VBZ	(VBP,1) (root,1) (have,1) (is,1) (advcl,1) (VBZ,1) 
sideways/RB	(RB,1) (advmod,1) (went,1) (root,1) (VBD,1) (sideways,1) 
once/RB	(RB,1) (advmod,1) (wan,1) (VBP,1) (aux,1) (once,1) (root,1) (do,1) (VB,1) 
because/IN	(VBP,1) (IN,1) (root,1) (know,1) (advcl,1) (because,1) (happens,1) (mark,1) (VBZ,1) 
Cat/NN	(but,1) (CC,1) (NN,1) (advmod,1) (NNS,1) (conj,1) (root,1) (Cat,1) (kids,1) 
point/NN	(NN,1) (Alex,1) (NNP,1) (brought,1) (root,1) (VBD,1) (nsubj,1) (compound,1) (point,1) 
type/VBD	(root,1) (VBD,1) (type,1) 
am/VBP	(extremely,1) (VBP,1) (aux,1) (root,1) (VBG,1) (am,1) 
he/PRP	(JJ,1) (root,1) (right,1) (nsubj,1) (he,1) (PRP,1) 
dad/NN	(NN,1) (dad,1) (root,1) ('s,1) (nsubj,1) (VBZ,1) 
complain/VBP	(VBP,1) (root,1) (complain,1) 
right/RB	(NN,1) (RB,2) (advmod,2) (mood,1) (root,1) (now,1) (right,1) 
I/NN	(NN,2) (nmod:at,1) (night,1) (root,1) (I,1) 
kids/NNS	(NNS,1) (root,1) (kids,1) 
moron/NN	(NN,1) (root,1) (!!!!!!!!!!!,1) (parataxis,1) (moron,1) (VBZ,1) 
thankful/JJ	(JJ,1) (think,1) (VBP,1) (thankful,1) (root,1) (parataxis,1) 
gone/VBN	(wish,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (gone,1) 
ca/MD	(aux,1) (root,1) (MD,1) (believe,1) (VB,1) (ca,1) 
nothing/NN	(NN,1) (root,1) (nothing,1) ('s,1) (nsubj,1) (VBZ,1) 
made/VBD	(made,1) (root,1) (VBD,1) 
tes/NN	(NN,2) (tes,1) (root,1) (right,1) (compound,1) 
long/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (have,1) (time,1) (dobj,1) (amod,1) (long,1) 
sleep/VB	(sleep,1) (VBP,2) (root,1) (have,1) (go,1) (is,1) (advcl,2) (VB,1) (xcomp,1) (VBZ,1) 
get/VB	(get,1) (root,1) (VB,1) 
reading/VBG	(root,1) (reading,1) (VBG,1) 
Then/RB	(RB,1) (advmod,1) (VBP,1) (root,1) (have,1) (Then,1) 
But/CC	(But,1) (CC,1) (cc,1) (get,1) (root,1) (VB,1) 
us/PRP	(joined,1) (root,1) (VBD,1) (dobj,1) (us,1) (PRP,1) 
Corvette/NNP	(NNP,1) (nmod:in,1) (root,1) (VBD,1) (Corvette,1) (VB,1) (got,1) (ride,1) (xcomp,1) 
catastrophically/VB	(NN,1) (root,1) (catastrophically,1) (conj:and,1) (VB,1) (fun,1) 
big/JJ	(NN,1) (JJ,1) (big,1) (root,1) (amod,1) (switch,1) 
needs/VBZ	(needs,1) (root,1) (VBZ,1) 
potential/NN	(NN,1) (root,1) ('s,1) (nsubj,1) (potential,1) (VBZ,1) 
marching/NN	(NN,1) (advmod,1) (root,1) (marching,1) (!!!!!!!!!!!,1) (VBZ,1) 
Kathryn/NNP	(Kathryn,1) (NNP,2) (MC,1) (root,1) (compound,1) 
brother/NN	(NN,2) (nmod:with,1) (root,1) (go,1) (nmod:to,1) (VB,1) (dinner,1) (brother,1) 
as/IN	(as,1) (aux,1) (IN,1) (root,1) (VBD,1) (VB,1) (write,1) (did,1) (mark,1) 
quote/NN	(NN,1) (quote,1) (ccomp,1) (thought,1) (root,1) (was,1) (VBD,2) (parataxis,1) 
dismay/NN	(JJ,1) (NN,1) (dismay,1) (root,1) (nmod:to,1) (right,1) 
need/VBP	(need,1) (VBP,1) (root,1) 
one/NN	(NN,1) (root,1) (one,1) (was,1) (VBD,1) (nsubj,1) 
want/VBP	(VBP,1) (want,1) (root,1) 
until/IN	(NN,1) (advmod,1) (IN,1) (root,1) (marching,1) (!!!!!!!!!!!,1) (until,1) (case,1) (VBZ,1) 
I./NNP	(NN,1) (NNP,2) (I.,1) (root,1) (oh,1) (nsubj,1) (GOSH,1) (gosh,1) (appos,1) (dep,1) (VBZ,1) 
MC/NNP	(NNP,1) (MC,1) (root,1) 
when/WRB	(advmod,1) (went,1) (WRB,1) (root,1) (VBD,1) (when,1) 
doing/VBG	(decided,1) (think,1) (doing,1) (ccomp,1) (bother,1) (VBP,1) (root,1) (VBD,1) (VBG,1) (VB,1) (xcomp,2) 
don/t/VBP	(don,1) (t,1) (root,1) 
conversation/NN	(NN,1) (brought,1) (nmod:in,1) (root,1) (VBD,1) (conversation,1) 
charged/VBN	(VBN,1) (root,1) (charged,1) 
home/NN	(NN,1) (root,1) (came,1) (VBD,1) (dobj,1) (home,1) 
118/CD	(CD,1) (nmod:from,1) (VBN,1) (root,1) (118,1) (reduced,1) (VB,1) (make,1) (xcomp,1) 
best/JJS	(NN,1) (JJS,1) (aux,1) (could,1) (anyone,1) (root,1) (MD,1) (go,1) (best,1) (VB,1) (nsubj,1) (amod,1) 
said/VBD	(root,1) (reading,1) (VBD,1) (VBG,1) (conj:and,1) (said,1) 
that/IN	(that,1) (IN,1) (get,1) (root,1) (VB,1) (mark,1) 
mess/NN	(NN,2) (root,1) (catastrophically,1) (conj:and,1) (mess,1) (VB,1) (dobj,1) (fun,1) 
no/DT	(DT,1) (think,1) (advmod,1) (no,1) (neg,1) (ccomp,1) (RBR,1) (guess,1) (VBP,1) (more,1) (root,1) (VB,1) 
weird/JJ	(JJ,1) (weird,1) (VBP,1) (get,1) (root,1) (xcomp,1) 
wonder/VBP	(VBP,1) (root,1) (wonder,1) 
nerdy/JJ	(JJ,1) (VBP,1) (root,1) (have,1) (makes,1) (is,1) (advcl,1) (nerdy,1) (dep,1) (xcomp,1) (VBZ,2) 
off/RP	(compound:prt,1) (get,1) (root,1) (VB,1) (off,1) (RP,1) 
Today/NNP	(NNP,1) (Today,1) (going,1) (root,1) (VBG,1) (nsubj,1) 
ALWAYS/NNS	(NNS,1) (VBP,1) (root,1) (know,1) (advcl,1) (nsubj,1) (happens,1) (ALWAYS,1) (VBZ,1) 
time/NN	(NN,1) (VBP,1) (root,1) (have,1) (time,1) (dobj,1) 
hepatitis/NN	(NN,2) (made,1) (nmod:about,1) (root,1) (VBD,1) (dobj,1) (hepatitis,1) (story,1) 
angry/JJ	(JJ,1) (extremely,1) (root,1) (VBG,1) (angry,1) (xcomp,1) 
letting/VBG	(wan,1) (needed,1) (felt,1) (parataxis,1) (VB,2) (xcomp,1) (ccomp,1) (root,1) (VBD,2) (thank,1) (letting,1) (VBG,1) (advcl,1) 
pretty/RB	(JJ,1) (RB,1) (advmod,1) (pretty,1) (root,1) (darn,1) (VBD,1) (type,1) (xcomp,1) 
night/NN	(NN,1) (night,1) (root,1) 
since/IN	(NN,1) (IN,1) (root,1) (VBD,1) (advcl,1) (used,1) (mark,1) (switch,1) (since,1) 
We/PRP	(VBP,1) (root,1) (have,1) (nsubj,1) (We,1) (PRP,1) 
s/VBZ	(VBN,1) (s,1) (root,1) (auxpass,1) (charged,1) (VBZ,1) 
after/IN	(NN,1) (IN,1) (root,1) (right,1) (after,1) (case,1) 
tape/NN	(NN,1) (think,1) (doing,1) (bother,1) (VBP,1) (VB,1) (xcomp,2) (decided,1) (ccomp,1) (tape,1) (root,1) (VBD,1) (VBG,1) (dobj,1) 
dinner/NN	(NN,1) (root,1) (go,1) (nmod:to,1) (VB,1) (dinner,1) 
now/RB	(NN,1) (RB,1) (advmod,1) (mood,1) (root,1) (now,1) 
making/VBG	(JJ,1) (making,1) (root,1) (VBG,1) (advcl,1) (good,1) 
hopefully/RB	(NN,1) (RB,1) (advmod,1) (root,1) (hopefully,1) (catastrophically,1) (conj:and,1) (VB,1) (fun,1) 
it/PRP	(get,1) (root,1) (it,1) (VB,1) (dobj,1) (PRP,1) 
makes/VBZ	(VBP,1) (root,1) (have,1) (makes,1) (is,1) (advcl,1) (dep,1) (VBZ,2) 
of/IN	(head,1) (NN,1) (nmod:of,1) (IN,1) (get,1) (root,1) (of,1) (VB,1) (case,1) 
'm/VBP	(getting,1) (VBP,1) (aux,1) ('m,1) (root,1) (VBG,1) 
doctor/NN	(NN,2) (doctor,1) (nmod:poss,1) (VBP,1) (root,1) (have,1) (appointment,1) (dobj,1) 
without/IN	(went,1) (IN,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (feeling,1) (VB,1) (xcomp,1) (without,1) (mark,1) (stay,1) 
them/PRP	(tell,1) (root,1) (them,1) (VB,1) (nsubj,1) (PRP,1) 
walk/VB	(VBP,1) (want,1) (root,1) (VB,1) (walk,1) (xcomp,1) 
think/VBP	(think,1) (VBP,1) (root,1) 
SUCH/NNP	(NN,1) (SUCH,1) (NNP,1) (mood,1) (root,1) (compound,1) 
He/PRP	(needs,1) (root,1) (nsubj,1) (He,1) (VBZ,1) (PRP,1) 
Friday/NNP	(NN,1) (NNP,1) (Friday,1) (night,1) (root,1) (compound,1) 
yesterday/RB	(yesterday,1) (RB,1) (nmod:from,1) (entries,1) (NNS,1) (ccomp,1) (:-RRB-,1) (root,1) (VB,2) (nmod:for,1) (apologize,1) 
Right/NNP	(NNP,1) (root,1) (Right,1) 
later/RBR	(but,1) (CC,1) (NN,1) (advmod,2) (NNS,1) (later,1) (RBR,1) (conj,1) (root,1) (Cat,1) (kids,1) 
she/PRP	(JJ,1) (she,1) (upset,1) (ccomp,1) (tell,1) (root,1) (VB,1) (nsubj,1) (PRP,1) 
's/POS	(NNP,1) (went,1) (Kel,1) (POS,1) (root,1) (VBD,1) (nmod:'s,1) ('s,1) (case,1) 
school/NN	(NN,1) (VBP,1) (school,1) (nmod:after,1) (root,1) (have,1) 
mall/NN	(acl:relcl,1) (NN,1) (nmod:at,1) (NNS,1) (wanted,1) (get,1) (root,1) (mall,1) (VBD,1) (VB,1) (dobj,1) (shoes,1) 
Numero/NNP	(Numero,1) (NNP,1) (need,1) (VBP,1) (root,1) (nmod:for,1) 
yeah/JJ	(NN,1) (??,1) (JJ,1) (go,1) (yeah,1) (VB,2) (amod,1) (look,1) (dep,1) (appos,1) (NNS,1) (nmod:in,1) (root,1) (yearbook,1) 
OK/JJ	(getting,1) (JJ,1) (ccomp,1) (root,1) (VBG,1) (OK,1) 
forgive/VB	(ccomp,1) (forgive,1) (root,1) (reading,1) (VBD,1) (VBG,1) (conj:and,1) (said,1) (VB,1) 
me/PRP	(get,1) (root,1) (me,1) (VB,1) (nsubj,1) (PRP,1) 
The/DT	(The,1) (DT,1) (NNP,1) (det,1) (VBP,1) (root,1) (X,1) (nsubj,1) (o,1) 
mommy/NN	(NN,2) (mommy,1) (nmod:with,1) (root,1) (go,1) (nmod:to,1) (VB,1) (dinner,1) 
Plus/CC	(CC,1) (cc,1) (root,1) ('s,1) (Plus,1) (VBZ,1) 
who/WP	(NNS,1) (killers,1) (IN,1) (root,1) (WP,1) (nsubj,1) (case,1) (on,1) (who,1) 
battery/NN	(NN,1) (NNS,1) (VBN,1) (nmod:with,1) (nmod:of,1) (counts,1) (root,1) (battery,1) (charged,1) 
shoes/NNS	(NNS,1) (get,1) (root,1) (VB,1) (dobj,1) (shoes,1) 
probably/RB	(NN,1) (RB,1) (advmod,1) (test,1) (probably,1) (root,1) 
because/RB	(NN,1) (RB,1) (nmod:because_of,1) (VBN,1) (root,1) (reduced,1) (union,1) (because,1) (VB,1) (make,1) (xcomp,1) (case,1) 
using/VBG	(using,1) (VBP,1) (root,1) (start,1) (VBG,1) (xcomp,1) 
confuses/VBZ	(wish,1) (conj:but,1) (confuses,1) (VBP,1) (root,1) (advcl,1) (gets,1) (VBZ,2) 
extremely/VBG	(extremely,1) (root,1) (VBG,1) 
Matthew/NNP	(NNP,1) (joined,1) (root,1) (Matthew,1) (VBD,1) (nsubj,1) 
