returns/VBZ	(root,1) (returns,1) (VBZ,1) 
problems/NNS	(NN,1) (acl:relcl,1) (NNS,1) (caused,1) (root,1) (VBD,1) (type,1) (dobj,1) (problems,1) 
5/CD	(CD,1) (NNS,1) (5,1) (nummod,1) (minutes,1) (root,1) (Watch,1) (dobj,1) (VBZ,1) 
load/VB	(JJ,1) (sure,1) (waiting,1) (load,1) (root,1) (VBG,1) (VB,1) (dep,1) (xcomp,1) 
Bill/NNP	(NN,3) (JJ,1) (BBC,1) (nmod:by,1) (amod,1) (compound,2) (article,1) (nmod:from,1) (NNP,2) (site,1) (extract,1) (root,1) (Bill,1) (Thompson,1) 
Liverpool/NNP	(conj:but,1) (NNP,1) (nmod:at,1) (Liverpool,1) (VBN,1) (root,1) (VB,1) (linked,1) (stay,1) 
soaps/NNS	(soaps,1) (NNS,1) (VBP,1) (watch,1) (root,1) (advcl,1) (do,1) (VB,1) (dobj,1) 
fat/JJ	(NN,1) (JJ,2) (VBN,1) (green,1) (nsubjpass,1) (is,1) (amod,2) (VBZ,1) (ccomp,1) (root,1) (paid,1) (fat,1) (ogre,1) 
another/DT	(NN,1) (DT,1) (entry,1) (det,1) (root,1) (another,1) 
posted/VBD	(JJ,1) (NN,1) (acl:relcl,1) (James,1) (HQ,1) (blog,1) (amod,1) (posted,1) (NNP,2) (convinced,1) (root,1) (VBD,1) (VBG,1) (page,1) (nsubj,2) (dobj,1) 
for/IN	(NN,1) (IN,1) (part,1) (root,1) (for,1) (case,1) 
stolen/VBN	(NN,1) (VBN,2) (stolen,1) (aux,1) (root,1) (VBD,1) (had,1) (nsubj,1) (amod,1) (linked,1) (cello,1) 
mystery/NN	(acl:relcl,1) (NN,2) (CD,1) (named,1) (VBP,1) (no.,1) (compound,1) (2,1) (mystery,1) (lyric,1) (root,1) (VBD,1) (dobj,2) 
Okay/UH	(JJ,1) (Okay,1) (UH,1) (able,1) (root,1) (discourse,1) 
misunderstood/VBN	(VBN,1) (ccomp,1) (root,1) (is,1) (misunderstood,1) (VBZ,1) 
more/RBR	(NN,1) (advmod,1) (RBR,1) (going,1) (more,1) (root,1) (VBG,1) (parataxis,1) (improvement,1) 
sweep/NN	(NN,3) (stake,1) (sweep,1) (Mate,1) (nmod:in,1) (root,1) (chose,1) (VBD,1) (dobj,1) (compound,1) 
won/VBD	(root,1) (won,1) (creating,1) (VBD,1) (VBG,1) (dep,1) 
minutes/NNS	(NNS,1) (minutes,1) (root,1) (Watch,1) (dobj,1) (VBZ,1) 
recommend/VBP	(JJ,1) (VBP,1) (root,1) (recommend,1) (parataxis,1) (great,1) 
some/DT	(DT,1) (some,1) (NNS,1) (det,1) (root,1) (makes,1) (dobj,1) (VBZ,1) (points,1) 
Shirley/NNP	(NNP,3) (Temple,1) (VBP,1) (Shakespeare,1) (root,1) (Shirley,1) (nsubj,1) (compound,1) (urlLink,1) (appos,1) 
small/JJ	(NN,1) (small,1) (JJ,1) (nmod:about,1) (root,1) (VBG,1) (collection,1) (amod,1) (thinking,1) 
3rd/JJ	(JJ,1) (3rd,1) (root,1) (came,1) (VBD,1) (dobj,1) 
10/CD	(CD,1) (NNS,1) (nummod,1) (root,1) (earners,1) (10,1) 
upload/VB	(NN,1) (acl:relcl,1) (VBN,1) (upload,1) (root,1) (started,1) (VB,1) (urlLink,1) (xcomp,1) 
residential/JJ	(NN,2) (JJ,1) (week,1) (residential,1) (root,1) (starts,1) (dobj,1) (amod,1) (nmod:on,1) (building,1) (VBZ,1) 
will/MD	(VBN,1) (will,1) (aux,1) (root,1) (MD,1) (re-titled,1) 
Our/PRP$	(NN,1) (VBN,1) (ccomp,1) (PRP$,1) (nmod:poss,1) (Berners-Lee,1) (VBP,1) (root,1) (received,1) (nsubj,1) (Our,1) (urlLink,1) 
onto/IN	(JJ,2) (template,1) (NN,1) (similar,1) (IN,1) (root,1) (conj:and,1) (nsubj,1) (nice,1) (onto,1) (case,1) 
winnings/NNS	(NNS,1) (nmod:with,1) (root,1) (came,1) (VBD,1) (winnings,1) 
?!/NN	(NN,1) (?!,1) (root,1) (VBD,1) (dobj,1) (got,1) 
e-mail/NN	(NN,1) (root,1) (e-mail,1) (VB,1) (nsubj,1) (prompt,1) 
ideas/NNS	(NNS,1) (root,1) (ideas,1) 
article/NN	(NN,3) (JJ,1) (nmod:from,1) (site,1) (BBC,1) (extract,1) (root,1) (amod,1) (compound,1) (article,1) 
Wildcard/NNP	(NNP,2) (booked,1) (nmod:in,1) (Wildcard,1) (Gloucester,1) (root,1) (final,1) (VBD,1) (advcl,1) (compound,1) (VBZ,1) 
machine/NN	(JJ,1) (NN,1) (machine,1) (root,1) (safe,1) (nsubj,1) 
say/VBP	(CD,1) (3,1) (VBP,3) (root,1) (parataxis,1) (say,1) (advcl,1) (Do,1) (no.,1) (dep,1) 
HOUSE/NNP	(NN,1) (entry,1) (NNP,1) (root,1) (HOUSE,1) (nsubj,1) 
n't/RB	(JJ,1) (RB,1) (neg,1) (root,1) (parataxis,1) (n't,1) (VB,1) (great,1) (become,1) 
Macintyre/NNP	(NNP,2) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (Macintyre,1) (urlLink,1) (appos,1) 
Apple/NNP	(JJ,1) (NNP,1) (Apple,1) (root,1) (safe,1) (nsubj,1) 
improvement/NN	(NN,1) (root,1) (improvement,1) 
Kevin/NNP	(NNP,2) (Kevin,1) (Garnett,1) (root,1) (compound,1) 
Tories/NNPS	(JJ,1) (similar,1) (root,1) (NNPS,1) (Tories,1) (nsubj,1) 
esp/VB	(JJ,1) (esp,1) (ccomp,1) (VBP,1) (root,1) (recommend,1) (parataxis,1) (VB,1) (great,1) 
Trevor/NNP	(NNP,2) (NNS,1) (VBP,1) (root,1) (match,1) (nmod:to,1) (Congrats,1) (nsubj,1) (compound,1) (Woodman,1) (Trevor,1) 
malfunctioning/NN	(NN,1) (malfunctioning,1) (root,1) (musings,1) (nmod:on,1) (VBZ,1) 
've/VBP	(VBP,1) (aux,1) ('ve,1) (root,1) (VBG,1) (thinking,1) 
regularly/RB	(RB,1) (regularly,1) (advmod,1) (read,1) (ccomp,1) (VBP,1) (root,1) (VBG,1) (thinking,1) 
least/JJS	(JJ,1) (advmod,1) (JJS,1) (accurate,1) (root,1) (least,1) (is,1) (xcomp,1) (VBZ,1) 
naked/JJ	(eye,1) (NN,1) (JJ,1) (VBP,1) (nmod:with,1) (root,1) (naked,1) (amod,1) (observe,1) 
quick/JJ	(NN,1) (JJ,1) (quick,1) (VBP,1) (root,1) (do,1) (dobj,1) (amod,1) (version,1) 
planned/VBN	(VBN,1) (root,1) (planned,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (improvement,1) 
Italy/NNP	(NNP,1) (VBP,1) (nmod:with,1) (root,1) (match,1) (Italy,1) 
breeds/VBD	(JJ,1) (ccomp,1) (convinced,1) (root,1) (VBD,1) (breeds,1) 
attacks/NNS	(JJ,1) (NNS,2) (nmod:in,1) (terms,1) (attacks,1) (nmod:of,1) (root,1) (safe,1) 
allows/VBZ	(NN,2) (allows,1) (acl:relcl,1) (software,1) (root,1) (testing,1) (VBG,1) (acl,1) (dobj,1) (urlLink,1) (VBZ,1) 
play/NN	(NN,2) (acl:relcl,1) (play,1) (rain,1) (Years,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,2) (month,1) (root,1) (VBD,1) (nsubj,2) 
not/RB	(RB,1) (neg,1) (not,1) (root,1) (have,1) (VB,1) 
go/VB	(root,1) (go,1) (VB,1) 
Michael/NNP	(JJ,1) (NNP,2) (sure,1) (root,1) (Michael,1) (Hanscom,1) (advcl,1) (agree,1) (VB,1) (nsubj,1) (compound,1) 
viruses/NNS	(JJ,1) (nmod:from,1) (NNS,3) (viruses,1) (nmod:in,1) (terms,1) (attacks,1) (nmod:of,1) (root,1) (safe,1) 
sure/JJ	(JJ,1) (sure,1) (root,1) 
quickly/RB	(NN,1) (RB,1) (advmod,1) (root,1) (quickly,1) (blog,1) 
right/NN	(JJ,1) (RB,1) (NN,1) (NNP,1) (convinced,1) (James,1) (nmod:of,1) (root,1) (right,1) (nsubj,1) (dobj,1) (much,1) 
ads/NNS	(ads,1) (NNS,1) (VBN,1) (root,1) (programmed,1) (deliver,1) (advcl,1) (VB,1) (dobj,1) 
Hudde/NNP	(NNP,2) (VBP,1) (Hudde,1) (Shakespeare,1) (root,1) (nsubj,1) (urlLink,1) (appos,1) 
top/NN	(NN,1) (VBN,1) (ccomp,2) (top,1) (root,1) (is,1) (misunderstood,1) (VBZ,1) 
WHITE/NNP	(NN,1) (entry,1) (NNP,2) (WHITE,1) (root,1) (HOUSE,1) (nsubj,1) (compound,1) 
hear/VB	(JJ,1) (sure,1) (waiting,1) (root,1) (VBG,1) (VB,1) (dep,1) (hear,1) (xcomp,1) 
place/NN	(NN,1) (nmod:about,1) (root,1) (say,1) (place,1) (VB,1) 
youth/NN	(NN,3) (acl:relcl,1) (rebel,1) (ccomp,1) (nmod:in,1) (part,1) (root,1) (wishes,1) (youth,1) (VBZ,1) 
have/VB	(root,1) (have,1) (VB,1) 
Planck/NNP	(NN,1) (NNP,1) (Planck,1) (root,1) (urlLink,1) (dep,1) 
came/VBD	(root,1) (came,1) (VBD,1) 
period/NN	(NN,2) (acl:relcl,1) (named,1) (period,1) (VBN,1) (root,1) (makes,1) (nmod:during,1) (time,1) (dobj,1) (VBZ,1) 
box/NN	(broken,1) (NN,1) (NNS,1) (VBN,1) (records,1) (root,1) (box,1) (dobj,1) (compound,1) 
at/IN	(JJ,1) (advmod,1) (JJS,1) (at,1) (accurate,1) (IN,1) (root,1) (least,1) (is,1) (xcomp,1) (case,1) (VBZ,1) 
may/MD	(may,1) (aux,1) (root,1) (MD,1) (have,1) (VB,1) 
might/MD	(aux,1) (might,1) (root,1) (MD,1) (VB,1) (prompt,1) 
Better/NNP	(news,1) (NN,1) (NNP,1) (Better,1) (Gloucester,1) (root,1) (nsubj,1) (compound,1) (VBZ,1) 
With/IN	(using,1) (IN,1) (root,1) (end,1) (VBG,1) (advcl,1) (VB,1) (mark,1) (With,1) 
idea/NN	(NN,1) (idea,1) (root,1) (have,1) (VB,1) (dobj,1) 
1991/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (1991,1) (VBD,1) (nsubj,1) 
keys/NNS	(NN,1) (NNS,1) (VBN,1) (anyone,1) (keys,1) (root,1) (has,1) (acl,1) (dobj,2) (seen,1) (VBZ,1) 
day/NN	(NN,2) (root,1) (day,1) (compound,1) (urlLink,1) 
7/CD	(NNP,1) (CD,1) ($,2) (Garnett,1) (root,1) (7,1) (dep,2) 
unused/JJ	(gmail,1) (NN,1) (JJ,1) (VBP,1) (root,1) (unused,1) (nsubj,1) (amod,1) (account,1) 
Three/CD	(CD,1) (VBN,1) (nsubjpass,1) (root,1) (re-titled,1) (Three,1) 
*/SYM	(SYM,1) (root,1) (musings,1) (*,1) (dep,1) (VBZ,1) 
grim/JJ	(NN,1) (JJ,1) (root,1) (word,1) (dep,1) (grim,1) 
were/VBD	(sold,1) (VBN,1) (were,1) (root,1) (auxpass,1) (VBD,1) 
our/PRP$	(NNS,1) (PRP$,1) (nmod:poss,1) (root,1) (machines,1) (VB,1) (dobj,1) (make,1) (our,1) 
pair/NN	(NN,1) (VBP,1) (does,1) (root,1) (nsubj,1) (make,1) (dep,1) (pair,1) (VBZ,1) 
hence/RB	(NN,1) (RB,1) (advmod,1) (VBN,1) (Born,1) (root,1) (hence,1) (dobj,1) (picture,1) 
free/VB	(acl:relcl,1) (CD,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (NNP,1) (3,1) (root,1) (nsubj,1) (free,1) 
Gmail/NNP	(NN,1) (messing,1) (NNP,1) (nmod:with,1) (Gmail,1) (root,1) (VBG,1) (compound,1) (account,1) 
Two/CD	(NNP,1) (CD,1) (VBN,1) (nsubjpass,1) (nummod,1) (root,1) (Divisions,1) (Two,1) (re-titled,1) 
ever/RB	(NN,1) (RB,1) (ever,1) (advmod,1) (VBP,1) (root,1) (do,1) (dobj,1) (version,1) 
papers/magazines/NNS	(NN,1) (nmod:of,1) (nmod:about,1) (root,1) (VBG,1) (magazines,1) (collection,1) (thinking,1) (papers,1) 
Cup/NNP	(Pilot,1) (NNP,2) (nmod:from,1) (NNS,1) (nmod:with,1) (root,1) (came,1) (VBD,1) (winnings,1) (compound,1) (Cup,1) 
best/RB	(NN,1) (the,1) (DT,1) (RB,1) (advmod,1) (det,1) (VBP,1) (leave,1) (league,1) (root,1) (best,1) (dep,1) 
lyric/NN	(acl:relcl,1) (NN,1) (CD,1) (2,1) (named,1) (VBP,1) (lyric,1) (root,1) (VBD,1) (no.,1) (dobj,2) 
leave/VBP	(NN,1) (the,1) (DT,1) (det,1) (VBP,1) (leave,1) (league,1) (root,1) (dep,1) 
1922/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) (1922,1) 
Malfuncian/NNP	(NN,2) (acl:relcl,1) (named,1) (period,1) (VBN,1) (makes,1) (compound,1) (VBZ,1) (NNP,1) (root,1) (nmod:during,1) (Malfuncian,1) (time,1) (dobj,1) 
Temple/NNP	(NNP,2) (Temple,1) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (urlLink,1) (appos,1) 
Sergey/NNP	(NNP,2) (NNS,1) (root,1) (have,1) (Brin,1) (founders,1) (VB,1) (nsubj,1) (Sergey,1) (compound,1) (appos,1) 
is/VBZ	(root,1) (is,1) (VBZ,1) 
once/RB	(RB,1) (advmod,1) (brought,1) (VBN,1) (once,1) (root,1) (auxpass,1) (was,1) (VBD,1) 
easily/RB	(NN,1) (RB,1) (advmod,1) (root,1) (easily,1) (blog,1) 
because/IN	(NN,1) (are,1) (VBP,1) (cop,1) (IN,1) (league,1) (root,1) (because,1) (mark,1) 
page/NN	(JJ,1) (NN,1) (NNP,1) (convinced,1) (James,1) (root,1) (page,1) (nsubj,2) 
storage/NN	(NN,2) (equivalent,1) (root,1) (have,1) (storage,1) (VB,1) (dobj,1) (compound,1) 
become/VB	(JJ,1) (root,1) (parataxis,1) (VB,1) (great,1) (become,1) 
Making/VBG	(acl:relcl,1) (NN,1) (CD,1) (named,1) (VBP,1) (Making,1) (album,1) (acl,1) (no.,1) (nmod:from,1) (2,1) (root,1) (VBD,1) (VBG,1) (dobj,1) 
Africa/NNP	(NN,1) (most,1) (nmod:as,1) (NNP,1) (JJS,1) (nmod:of,1) (root,1) (Africa,1) (blog,1) 
tallest/JJS	(NN,2) (JJS,1) (week,1) (tallest,1) (root,1) (starts,1) (dobj,1) (amod,1) (nmod:on,1) (building,1) (VBZ,1) 
seem/VBP	(VBP,1) (root,1) (seem,1) 
sequel/NNP	(JJ,1) (Shrek,1) (NNP,2) (root,1) (nsubj,1) (sequel,1) (great,1) (compound,1) 
name/NN	(NN,1) (VBP,1) (root,1) (name,1) (google,1) (nsubj,1) 
discussed/VBN	(NNS,1) (VBN,2) (topics,1) (discussed,1) (root,1) (dissect,1) (programmed,1) (advcl,1) (acl,1) (VB,1) (dobj,1) 
Computer/NNP	(JJ,1) (Shrek,1) (NNP,2) (root,1) (Computer,1) (nsubj,1) (great,1) (compound,1) 
re-titled/VBN	(VBN,1) (root,1) (re-titled,1) 
George/NNP	(NN,2) (NNP,1) (nmod:poss,1) (George,1) (root,1) (day,1) (compound,1) (urlLink,1) 
somewhere/RB	(JJ,1) (IN,1) (purchase,1) (VB,1) (hot,1) (somewhere,1) (off,1) (xcomp,1) (RB,1) (advmod,1) (ccomp,1) (root,1) (came,1) (VBD,1) (advcl,1) 
nothing/NN	(NN,1) (given,1) (doing,1) (VBN,1) (root,1) (nothing,1) (VBD,1) (advcl,2) (VBG,1) (deserved,1) (dobj,1) 
emotion/NN	(NN,3) (emotion,1) (VBP,1) (root,1) (replay,1) (nsubj,1) (nmod:for,1) (look,1) (compound,1) (nnnnice,1) 
agaisnt/JJ	(BUT,1) (JJ,1) (ccomp,2) (VBP,1) (root,1) (won,1) (creating,1) (VBD,1) (VBG,1) (agaisnt,1) (dep,1) 
concert/NN	(NN,2) (DT,1) (entry,1) (discussing,1) (det,1) (root,1) (another,1) (concert,1) (VBG,1) (acl,1) (dobj,1) 
The/NNP	(The,1) (NNP,2) (root,1) (father,1) (has,1) (nsubj,1) (compound,1) (VBZ,1) 
building/NN	(NN,2) (week,1) (root,1) (starts,1) (dobj,1) (nmod:on,1) (building,1) (VBZ,1) 
profit/NN	(!!,1) (NN,2) (root,1) (came,1) (VBD,1) (nsubj,1) (profit,1) (compound,1) 
get/VB	(went,1) (root,1) (get,1) (VBD,1) (VB,1) (xcomp,1) 
her/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (her,1) (root,1) (display,1) (profile,1) (chose,1) (VBD,1) (VB,1) (nmod:on,1) (xcomp,1) 
crowd-pulling/JJ	(NN,1) (JJ,1) (NNS,1) (names,1) (nmod:of,1) (league,1) (root,1) (crowd-pulling,1) (amod,1) 
horror/NN	(!!,1) (NN,1) (horror,1) (root,1) (beat,1) (VBD,1) (parataxis,1) (nsubj,1) (VBZ,1) 
hot/JJ	(JJ,1) (ccomp,1) (IN,1) (root,1) (came,1) (purchase,1) (VBD,1) (advcl,1) (VB,1) (hot,1) (off,1) (xcomp,1) 
:--RRB-/NNP	(NN,1) (NNP,2) (:--RRB-,1) (answer,1) (root,1) (VB,1) (Schumacher,1) (compound,1) (urlLink,1) (dep,1) (iobj,1) 
via/IN	(Tony,1) (NNP,1) (NNS,1) (IN,1) (blogs,1) (root,1) (nmod:via,1) (have,1) (VB,1) (dobj,1) (case,1) (via,1) 
difficult/JJ	(NN,1) (JJ,1) (root,1) (makes,1) (nmod:during,1) (difficult,1) (time,1) (amod,1) (VBZ,1) 
Cruise/NNP	(NN,1) (NNP,1) (nmod:between,1) (Cruise,1) (root,1) (difference,1) (is,1) (nsubj,1) (VBZ,1) 
loads/VBD	(root,1) (loads,1) (VBD,1) 
polar/JJ	(JJ,2) (NN,1) (polar,1) (nsubjpass,1) (responsible,1) (root,1) (front,1) (amod,1) 
gaining/VBG	(JJ,1) (resulted,1) (acl:relcl,1) (gaining,1) (3rd,1) (root,1) (came,1) (VBD,2) (VBG,1) (advcl,1) (dobj,1) 
read/VB	(read,1) (root,1) (VB,1) 
Wilkinson/NNP	(NNP,1) (ccomp,2) (IN,1) (root,1) (playing,1) (VBG,1) (VB,1) (Wilkinson,1) (nsubj,1) (Went,1) (out,1) 
spare/JJ	(NN,1) (JJ,1) (going,1) (root,1) (VBG,1) (parataxis,1) (improvement,1) (dobj,1) (spare,1) 
independent/JJ	(JJ,1) (independent,1) (VBP,1) (does,1) (root,1) (make,1) (dep,1) (xcomp,1) (VBZ,1) 
th/NN	(birthday,1) (NN,2) (th,1) (root,1) (returns,1) (nsubj,1) (compound,1) (VBZ,1) 
ticketing/VBG	(NN,1) (include,1) (nmod:from,1) (agency,1) (ticketing,1) (root,1) (VBG,1) (VB,2) (amod,1) (prompt,1) (xcomp,1) 
one/NN	(NN,2) (part,1) (root,1) (one,1) (nsubj,1) 
Lee/NNP	(NNP,2) (PRP$,1) (ccomp,1) (VBP,1) (root,1) (my,1) (nsubj,1) (Tomorrow,1) (Lee,1) (compound,1) (urlLink,1) 
caused/VBD	(NN,1) (acl:relcl,1) (caused,1) (root,1) (VBD,1) (type,1) 
2001/FW	(NN,1) (acl:relcl,1) (rain,1) (Years,1) (nmod:into,1) (2001,1) (2000,1) (years,1) (appos,1) (extended,1) (dep,1) (nmod:without,1) (NNP,1) (FW,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) 
user/NN	(NN,1) (root,1) (have,1) (VB,1) (nsubj,1) (user,1) 
doing/VBG	(given,1) (doing,1) (VBN,1) (root,1) (VBD,1) (advcl,2) (VBG,1) (deserved,1) 
One/CD	(NNP,1) (CD,1) (League,1) (VBN,1) (nummod,1) (root,1) (One,1) (dobj,1) (re-titled,1) 
chains/NNS	(JJ,2) (similar,1) (NNS,1) (jerk,1) (chains,1) (root,1) (conj:and,1) (VB,1) (dobj,1) (nice,1) (xcomp,1) 
Scott/NNP	(NNP,3) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (Macintyre,1) (compound,1) (urlLink,1) (appos,1) (Scott,1) 
event/NN	(NN,1) (last,1) (root,1) (VB,1) (event,1) (nsubj,1) 
vinyl/NN	(NN,1) (sold,1) (VBN,1) (root,1) (nmod:to,1) (vinyl,1) 
vast/JJ	(JJ,2) (NN,1) (transfer,1) (able,1) (root,1) (majority,1) (vast,1) (VB,1) (dobj,1) (amod,1) (xcomp,1) 
thinking/VBG	(root,1) (VBG,1) (thinking,1) 
ervey/JJ	(JJ,2) (NN,1) (bcuseae,1) (ccomp,1) (root,1) (lteter,1) (ervey,1) (raed,1) (VB,1) (dobj,1) (amod,1) 
where/WRB	(acl:relcl,1) (NNP,1) (advmod,1) (NNS,1) (chances,1) (Owen,1) (WRB,1) (root,1) (creating,1) (VBG,1) (where,1) (dobj,1) 
