''/VB	('',1) (root,1) (VB,1) 
by/IN	(NN,1) (took,1) (nmod:by,1) (IN,1) (root,1) (by,1) (VBD,1) (arm,1) (case,1) 
familiar/JJ	(JJ,1) (acl:relcl,1) (NNS,1) (sounds,1) (root,1) (VBD,1) (familiar,1) (dobj,1) (heard,1) 
while/IN	(VBN,1) (pressed,1) (IN,1) (root,1) (feel,1) (advcl,1) (VB,1) (while,1) (mark,1) 
have/VBP	(VBP,1) (root,1) (have,1) 
blindness/NN	(NN,1) (blindness,1) (root,1) (VBD,1) (dobj,1) (feigned,1) 
houses/NNS	(NNS,2) (root,1) (houses,1) (roads,1) (appos,1) 
descending/VBG	(root,1) (VBG,1) (descending,1) 
which/WDT	(which,1) (NNS,1) (ref,1) (WDT,1) (knew,1) (root,1) (handcuffs,1) (VBD,1) (dobj,1) 
face/NN	(NN,2) (face,1) (allowed,1) (root,1) (sweat,1) (VBD,1) (nsubj,1) (nmod:on,1) 
to?I/NNS	(NNS,1) (to?I,1) (root,1) (VBD,1) (had,1) (nsubj,1) 
manage/VB	(took,1) (root,1) (VBD,1) (advcl,1) (VB,1) (manage,1) 
hard/RB	(RB,1) (advmod,1) (slammed,1) (root,1) (VBD,2) (advcl,1) (hard,1) (bounced,1) 
would/MD	(instruct,1) (would,1) (aux,1) (root,1) (MD,1) (VB,1) 
around/RB	(RB,1) (advmod,1) (root,1) (saw,1) (VBD,1) (around,1) 
amazing/JJ	(JJ,2) (sighters,1) (amazing,1) (ccomp,1) (root,1) 
and/CC	(CC,1) (cc,1) (and,1) (root,1) (felt,1) (VBD,1) 
you/PRP	(root,1) (VBD,1) (nsubj,1) (heard,1) (you,1) (PRP,1) 
noticed/VBD	(noticed,1) (root,1) (VBD,1) 
#x200B/NNP	(JJ,1) (NNP,1) (blind,1) (root,1) (#x200B,1) (dep,1) 
saw/VBD	(root,1) (saw,1) (VBD,1) 
morning/NN	(NN,1) (think,1) (NNS,1) (months,1) (ccomp,1) (VBP,1) (root,1) (nmod:until,1) (morning,1) 
Have/VB	(root,1) (Have,1) (VB,1) 
against/IN	(concrete,1) (NN,1) (IN,1) (against,1) (root,1) (feel,1) (VB,1) (case,1) (nmod:against,1) 
put/VB	(instruct,1) (root,1) (VB,2) (put,1) (xcomp,1) 
cleaner/NN	(NN,1) (ccomp,1) (smelled,1) (began,1) (root,1) (cleaner,1) (VBD,2) (nmod:to,1) 
survive/VB	(NN,1) (world,1) (survive,1) (VBP,1) (root,1) (conj:and,1) (VB,1) (plan,1) (xcomp,1) 
build/VBP	(build,1) (VBP,1) (root,1) 
myself/PRP	(took,1) (root,1) (myself,1) (VBD,1) (advcl,1) (VB,1) (dobj,1) (manage,1) (PRP,1) 
skin/NN	(NN,2) (grating,1) (root,1) (skin,1) (feel,1) (VB,1) (dobj,1) (compound,1) 
travel?Who/NN	(NN,1) (travel?Who,1) (ccomp,1) (smelled,1) (began,1) (root,1) (adapt,1) (VBD,2) (nmod:to,1) (VB,1) (xcomp,1) 
another/DT	(DT,1) (det,1) (VBN,1) (JJR,1) (thought,1) (more,1) (root,1) (another,1) (nsubj,1) 
plan/VBP	(NN,1) (world,1) (VBP,1) (root,1) (conj:and,1) (plan,1) 
People/NNS	(NNS,1) (harm,1) (VBP,1) (root,1) (People,1) (nsubj,1) 
for/IN	(NN,1) (month,1) (IN,1) (root,1) (for,1) (VBD,1) (nmod:for,1) (happened,1) (case,1) 
childish/JJ	(wish-fulfillment,1) (NN,1) (nmod:as,1) (JJ,1) (root,1) (dismissed,1) (childish,1) (feel,1) (VBD,1) (conj:and,1) (VB,1) (amod,1) 
stop/VB	(stop,1) (root,1) (VB,1) 
remove/VB	(NN,1) (see,1) (remembered,1) (ccomp,1) (root,1) (VBD,1) (trouble,1) (advcl,1) (acl,1) (VB,2) (remove,1) 
what?I/NNS	(NNS,1) (brought,1) (VBN,1) (csubj,1) (nmod:into,1) (what?I,1) (root,1) (dismissed,1) (feel,1) (VBD,1) (conj:and,1) (VB,1) 
ba/JJ	(escort,1) (JJ,1) (root,1) (VB,1) (xcomp,1) (ba,1) 
fighting/VBG	(root,1) (VBG,1) (fighting,1) 
sort/NN	(NN,2) (nmod:as,1) (root,1) (VBD,1) (back,1) (sort,1) (kept,1) (nmod:on,1) 
years/NNS	(NNS,1) (root,1) (VBD,1) (lived,1) (nmod:for,1) (years,1) 
blind/JJ	(JJ,1) (blind,1) (root,1) 
uncontrollable/JJ	(JJ,1) (NNS,1) (root,1) (VBD,1) (uncontrollable,1) (had,1) (dobj,1) (amod,1) (tantrums,1) 
Who/WP	(root,1) (VBD,1) (WP,1) (said,1) ('s,1) (nsubj,1) (dep,1) (VBZ,1) (Who,1) 
too/RB	(JJ,1) (RB,1) (advmod,1) (too,1) (root,1) (afraid,1) (felt,1) (VBD,1) (conj:and,1) 
***/JJ	(NN,1) (JJ,1) (root,1) (NNPS,1) (#x200B,1) (***,1) (parataxis,1) (Sightless,1) (dep,1) 
more/RBR	(advmod,1) (RBR,1) (more,1) (root,1) (VBD,1) (heard,1) 
Technology/NNP	(NNP,1) (like,1) (VBP,1) (Technology,1) (root,1) (nsubj,1) 
out/RP	(compound:prt,1) (root,1) (VBD,1) (repeated,1) (RP,1) (out,1) 
straggly/JJ	(NN,2) (JJ,1) (beard,1) (straggly,1) (nmod:with,1) (root,1) (man,1) (amod,1) 
small/JJ	(small,1) (JJ,1) (NNS,1) (pebbles,1) (allowed,1) (root,1) (VBD,1) (dobj,1) (amod,1) 
walls/NNS	(NNS,1) (sprayed,1) (VBN,1) (walls,1) (nmod:across,1) (root,1) 
up/RP	(compound:prt,1) (root,1) (VBD,1) (up,1) (put,1) (RP,1) 
garbage/NN	(fell,1) (NN,1) (ccomp,1) (root,1) (VBD,1) (garbage,1) (Have,1) (nmod:before,1) (VB,1) 
-RSB-/NNS	(-LSB-,1) (NNS,1) (root,1) (-RSB-,1) (dobj,1) (VBZ,1) 
should/MD	(aux,1) (root,1) (MD,1) (should,1) (VBD,1) (let,1) 
onto/IN	(acl:relcl,1) (CD,1) (nmod:into,1) (IN,1) (one,1) (best,1) (run,1) (VB,1) (onto,1) (avoided,1) (JJS,1) (root,1) (VBD,1) (dobj,1) (case,1) 
back/NN	(NN,1) (root,1) (VBD,1) (back,1) (kept,1) (nmod:on,1) 
as/RB	(RB,1) (as,1) (VBN,1) (root,1) (born,1) (was,1) (VBD,1) (advcl,1) (mark,1) 
What/WP	(JJ,1) (root,1) (WP,1) (nsubj,1) (irritated,1) (What,1) 
-RSB-/NNP	(NNP,2) (sprayed,1) (VBN,1) (nsubjpass,1) (root,1) (-RSB-,1) (***,1) (compound,1) 
same/JJ	(JJ,1) (VBN,1) (same,1) (thought,1) (root,1) (dobj,1) 
her/PRP	(took,1) (her,1) (root,1) (VBD,1) (dobj,1) (PRP,1) 
now?It/NN	(JJ,2) (NN,1) (sighters,1) (amazing,1) (ccomp,1) (root,1) (now?It,1) (nsubj,1) 
saved/VBD	(see,1) (saved,1) (root,1) (VBD,1) (advcl,1) (VB,1) 
resisting/VBG	(root,1) (VBG,1) (resisting,1) 
n't/RB	(RB,1) (neg,1) (tell,1) (root,1) (n't,1) (VB,1) 
invent/VBP	(JJ,2) (acl:relcl,1) (sighters,1) (amazing,1) (NNS,1) (ccomp,1) (VBP,1) (root,1) (things,1) (invent,1) (dep,1) 
've/VBP	(NN,1) (acl:relcl,1) (world,1) (VBN,1) (VBP,1) (aux,1) ('ve,1) (root,1) (opened,1) 
It/PRP	(NN,1) (root,1) (man,1) (It,1) (nsubj,1) (PRP,1) 
beginning/NN	(NN,1) (beginning,1) (root,1) 
step/NN	(NN,1) (took,1) (advmod,1) (JJR,1) (nmod:npmod,1) (root,1) (VBD,1) (step,1) (closer,1) 
They/PRP	(root,1) (rounding,1) (VBG,1) (nsubj,1) (They,1) (PRP,1) 
truly/RB	(NN,1) (VBN,1) (tell,1) (adjusted,1) (opened,1) (parataxis,1) (acl,1) (VB,1) (while,1) (RB,1) (advmod,1) (root,1) (VBD,1) (dobj,1) (truly,1) 
across/IN	(across,1) (NNS,1) (sprayed,1) (VBN,1) (walls,1) (IN,1) (nmod:across,1) (root,1) (case,1) 
ground/NN	(NN,1) (took,1) (VBN,1) (root,1) (subdued,1) (VBD,1) (ground,1) (conj:and,1) (nmod:on,1) 
stay/VB	(RB,1) (either,1) (VBN,1) (root,1) (VB,1) (anomalies!We,1) (dep,2) (stay,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (man,1) 
stick/NN	(NN,1) (discard,1) (ccomp,1) (root,1) (VBD,1) (stick,1) (kept,1) (VB,1) (dobj,1) 
on?Bah/NN	(NN,1) (going,1) (root,1) (VBG,1) (on?Bah,1) (dobj,1) 
harm/VBP	(harm,1) (VBP,1) (root,1) 
rescuer/NN	(NN,1) (root,1) (VBD,1) (had,1) (rescuer,1) (nsubj,1) 
island/NN	(NN,1) (NNS,1) (VBN,1) (left,1) (island,1) (root,1) (was,1) (VBD,1) (acl,1) (nsubj,1) (people,1) (nmod:on,1) 
vandalized/VBD	(root,1) (came,1) (VBD,2) (conj:and,1) (vandalized,1) 
not/RB	(JJ,1) (RB,1) (neg,1) (not,1) (sure,1) (root,1) 
intimately/RB	(RB,1) (advmod,1) (see,1) (remembered,1) (ccomp,1) (root,1) (intimately,1) (VBD,1) (VB,1) 
then/RB	(RB,1) (advmod,1) (tell,1) (root,1) (then,1) (VB,1) 
flying/VBG	(root,1) (flying,1) (saw,1) (VBD,1) (VBG,1) (parataxis,1) 
smell/NN	(NN,2) (ccomp,1) (smelled,1) (began,1) (root,1) (cleaner,1) (VBD,2) (nmod:to,1) (smell,1) (compound,1) 
pondered/VBD	(needed,1) (root,1) (VBD,2) (pondered,1) (dep,1) 
pressed/VBN	(VBN,1) (pressed,1) (root,1) (feel,1) (advcl,1) (VB,1) 
sure/JJ	(JJ,1) (sure,1) (root,1) 
sprayed/VBN	(sprayed,1) (VBN,1) (root,1) 
paste/VBZ	(root,1) (paste,1) (VBZ,1) 
here/RB	(here,1) (RB,1) (advmod,1) (were,1) (root,1) (VBD,1) 
sometimes/RB	(acl:relcl,1) (RB,1) (avoided,1) (advmod,1) (JJS,1) (root,1) (sometimes,1) (VBD,1) (best,1) (run,1) (dobj,1) (VB,1) 
top/NN	(NN,3) (VBN,1) (nmod:with,1) (nmod:across,1) (was,1) (medium,1) (acl,1) (scar,1) (top,1) (framed,1) (root,1) (VBD,1) (nsubj,1) 
like/IN	(like,1) (IN,1) (root,1) (us,1) (case,1) (PRP,1) 
grating/NN	(NN,1) (grating,1) (root,1) (feel,1) (VB,1) (dobj,1) 
A/DT	(NN,1) (DT,1) (A,1) (det,1) (root,1) (VBG,1) (nsubj,1) (descending,1) (creature,1) 
tantrums/NNS	(NNS,1) (root,1) (VBD,1) (had,1) (dobj,1) (tantrums,1) 
happened?The/NN	(JJ,1) (NN,2) (nmod:poss,1) (What,1) (sun,1) (compound,1) (NNS,1) (happened?The,1) (brightness,1) (nmod:in,1) (root,1) (WP,1) (nsubj,1) (irritated,1) 
area/NN	(area,1) (NN,1) (Secure,1) (root,1) (VB,1) (dobj,1) 
bounced/VBD	(slammed,1) (root,1) (VBD,2) (advcl,1) (bounced,1) 
place/NN	(NN,1) (took,1) (in,1) (IN,1) (root,1) (me,1) (VBD,1) (mwe,1) (place,1) (dobj,1) (case,1) (PRP,1) 
like/VBP	(like,1) (VBP,1) (root,1) 
dead/JJ	(JJ,1) (stop,1) (root,1) (dead,1) (advcl,1) (VB,1) 
have/VB	(aux,1) (root,1) (have,1) (VBD,1) (let,1) (VB,1) 
came/VBD	(root,1) (came,1) (VBD,1) 
through/RB	(NN,1) (through,1) (RB,1) (advmod,1) (world,1) (survive,1) (VBP,1) (root,1) (conj:and,1) (VB,1) (plan,1) (xcomp,1) 
at/IN	(NN,1) (nmod:at,1) (at,1) (thought,1) (IN,1) (root,1) (feel,1) (VB,1) (case,1) 
Secure/VB	(Secure,1) (root,1) (VB,1) 
tugging/VBG	(meant,1) (ccomp,2) (tugging,1) (needed,1) (root,1) (VBD,3) (VBG,1) (pondered,1) (dep,1) 
on/IN	(NN,1) (itch,1) (IN,1) (root,1) (feel,1) (VB,1) (nmod:on,1) (case,1) (on,1) 
man/NN	(NN,1) (root,1) (man,1) 
When/WRB	(NN,1) (advmod,1) (When,1) (instruct,1) (WRB,1) (root,1) (advcl,1) (VB,1) (child,1) 
sound/NN	(NN,1) (nmod:because_of,1) (knew,1) (root,1) (sound,1) (VBD,1) 
living/NN	(NN,2) (NNS,1) (sprayed,1) (VBN,1) (walls,1) (nmod:in,1) (living,1) (nmod:across,1) (root,1) (compound,1) (room,1) 
swear/VBP	(VBP,1) (root,1) (swear,1) 
were/VBD	(were,1) (root,1) (VBD,1) 
clue/NN	(NN,1) (root,1) (clue,1) (VBD,1) (had,1) (dobj,1) 
pair/NN	(NN,1) (root,1) (VBD,1) (dobj,1) (got,1) (pair,1) 
tattoo/NN	(NN,1) (tattoo,1) (root,1) (VBD,1) (had,1) (dobj,1) 
that/WDT	(that,1) (NNS,1) (ref,1) (sounds,1) (WDT,1) (root,1) (VBD,1) (dobj,1) (heard,1) 
round/VB	(round,1) (Secure,1) (root,1) (conj:and,1) (VB,2) 
had/VBD	(root,1) (VBD,1) (had,1) 
Two/CD	(CD,1) (NNS,1) (nummod,1) (root,1) (Two,1) (women,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (beginning,1) (root,1) 
ever/RB	(fell,1) (RB,1) (ever,1) (advmod,1) (ccomp,1) (root,1) (VBD,1) (Have,1) (VB,1) 
sight/NN	(NN,1) (avoided,1) (root,1) (sight,1) (VBD,1) (dobj,1) 
everyone/NN	(NN,2) (nmod:at,1) (thought,1) (everyone,1) (nmod:of,1) (root,1) (feel,1) (VB,1) 
Was/RB	(RB,1) (advmod,1) (root,1) (Was,1) (VBD,1) (heard,1) 
from/IN	(sky,1) (NN,1) (nmod:from,1) (IN,1) (root,1) (VBD,1) (from,1) (heard,1) (case,1) 
rounding/VBG	(root,1) (rounding,1) (VBG,1) 
armed/JJ	(NN,1) (JJ,1) (root,1) (armed,1) (man,1) (amod,1) 
room/NN	(NN,1) (NNS,1) (sprayed,1) (VBN,1) (walls,1) (nmod:in,1) (nmod:across,1) (root,1) (room,1) 
W-what/NNP	('',1) (NNP,1) (root,1) (VB,1) (dobj,1) (W-what,1) 
She/PRP	(She,1) (root,1) (VBD,1) (said,1) (nsubj,1) (PRP,1) 
tentacles/NNS	(NN,1) (NNS,1) (nmod:with,1) (root,1) (VBG,1) (nsubj,1) (descending,1) (creature,1) (tentacles,1) 
bottom/NN	(NN,3) (VBN,1) (nmod:with,1) (bottom,1) (nmod:across,1) (was,1) (medium,1) (acl,1) (scar,1) (framed,1) (root,1) (VBD,1) (nsubj,1) 
Seeing/VBG	(NNP,1) (sprayed,1) (VBN,1) (nsubjpass,1) (root,1) (***,1) (VBG,1) (acl,1) (Seeing,1) 
is/VBZ	(NN,1) (world,1) (cop,1) (root,1) (is,1) (VBZ,1) 
streets/NNS	(NNS,1) (streets,1) (root,1) (parataxis,1) (VB,1) (venture,1) 
once/RB	(RB,1) (advmod,2) (RBR,1) (once,1) (more,1) (root,1) (VBD,1) (heard,1) 
pulled/VBD	(pulled,1) (root,1) (VBD,1) 
development/NN	(NN,1) (development,1) (ccomp,1) (like,1) (VBP,1) (root,1) 
because/IN	(JJ,1) (tried,1) (IN,1) (root,1) (VBD,1) (advcl,1) (hard,1) (because,1) (mark,1) 
arms/NNS	(NN,2) (face,1) (NNS,1) (allowed,1) (root,1) (sweat,1) (VBD,1) (arms,1) (conj:and,1) (nsubj,1) (nmod:on,1) 
So/IN	(JJ,1) (sighters,1) (IN,1) (root,1) (So,1) (dep,1) 
become/VB	(RB,1) (either,1) (VBN,1) (root,1) (VB,1) (anomalies!We,1) (dep,2) (become,1) 
human/JJ	(NN,2) (JJ,1) (allowed,1) (conj:and,1) (amod,1) (face,1) (NNS,1) (root,1) (sweat,1) (VBD,1) (arms,1) (nsubj,1) (nmod:on,1) (human,1) 
sighters/JJ	(JJ,1) (sighters,1) (root,1) 
Do/VB	(aux,1) (tell,1) (root,1) (Do,1) (VB,2) 
animals/NNS	(NNS,1) (root,1) (animals,1) (VB,1) (dobj,1) (lure,1) 
later/RB	(RB,1) (advmod,1) (later,1) (VBP,1) (root,1) (I,1) (nsubj,1) (swear,1) (PRP,1) 
none/NN	(NN,1) (root,1) (paste,1) (none,1) (nsubj,1) (VBZ,1) 
phenomenon/NN	(JJ,1) (NN,1) (sure,1) (ccomp,1) (root,1) (phenomenon,1) 
hard/JJ	(JJ,1) (tried,1) (root,1) (VBD,1) (advcl,1) (hard,1) 
walk/NN	(NN,1) (tell,1) (root,1) (VBD,1) (opened,1) (parataxis,1) (VB,1) (nmod:on,1) (walk,1) 
consciousness/NN	(NN,1) (-LSB-,1) (aroused,1) (VBN,1) (consciousness,1) (root,1) (nmod:to,1) (parataxis,1) (VBZ,1) 
PUPILs/NNPS	(PUPILs,1) (stop,1) (root,1) (NNPS,1) (VB,1) (nsubj,1) 
kids/NNS	(given,1) (NNS,1) (VBN,1) (root,1) (get,1) (advcl,1) (VB,1) (nsubj,1) (kids,1) 
passed/VBD	(slammed,1) (root,1) (VBD,2) (advcl,1) (passed,1) 
boy/NN	(NN,1) (NNS,1) (root,1) (boy,1) (appos,1) (women,1) 
secured/VBN	(NN,1) (VBN,1) (VBP,1) (root,1) (have,1) (suspect,1) (acl,1) (dobj,1) (secured,1) 
gunshots/VBZ	(gunshots,1) (root,1) (VBD,1) (heard,1) (dep,1) (VBZ,1) 
eye/NN	(NN,2) (eye,1) (tattoo,1) (nmod:of,1) (root,1) (VBD,1) (had,1) (dobj,1) 
new/JJ	(NN,1) (JJ,1) (new,1) (world,1) (root,1) (amod,1) 
ca/MD	(see,1) (aux,1) (root,1) (MD,1) (VB,1) (ca,1) 
through/RP	(through,1) (compound:prt,1) (root,1) (flying,1) (saw,1) (VBD,1) (VBG,1) (parataxis,1) (RP,1) 
child/NN	(NN,1) (instruct,1) (root,1) (advcl,1) (VB,1) (child,1) 
face/VB	(face,1) (turned,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
#x200B/NN	(NN,1) (root,1) (#x200B,1) 
crisper/NN	(NN,1) (smelled,1) (root,1) (VBD,1) (crisper,1) (dobj,1) 
resist/VB	(tried,1) (root,1) (resist,1) (VBD,1) (VB,1) (xcomp,1) 
get/VB	(given,1) (VBN,1) (root,1) (get,1) (advcl,1) (VB,1) 
her/PRP$	(NN,1) (gun,1) (PRP$,1) (nmod:poss,1) (her,1) (slammed,1) (root,1) (VBD,1) (dobj,1) 
Then/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (Then,1) (circled,1) 
afraid/JJ	(JJ,1) (root,1) (afraid,1) (felt,1) (VBD,1) (conj:and,1) 
But/CC	(But,1) (CC,1) (cc,1) (root,1) (VBD,1) (happened,1) 
For/IN	(NNS,1) (IN,1) (root,1) (For,1) (VBD,1) (lived,1) (nmod:for,1) (years,1) (case,1) 
pungent/JJ	(JJ,1) (pungent,1) (smelled,1) (root,1) (VBD,1) (xcomp,1) 
hot/JJ	(JJ,1) (root,1) (hot,1) 
protest/VB	(JJ,1) (root,1) (afraid,1) (felt,1) (VBD,2) (roughed,1) (advcl,1) (conj:and,1) (protest,1) (VB,1) (xcomp,1) 
us/PRP	(root,1) (us,1) (PRP,1) 
live?I/NNS	(escort,1) (NNS,1) (root,1) (VB,1) (live?I,1) (nsubj,1) 
except/IN	(NN,2) (argument,1) (IN,1) (root,1) (nmod:except_for,1) (except,1) (paste,1) (none,1) (nsubj,1) (case,1) (VBZ,1) 
'd/MD	(imagine,1) (aux,1) (root,1) (MD,1) (VB,1) ('d,1) 
run/VB	(acl:relcl,1) (avoided,1) (JJS,1) (root,1) (VBD,1) (best,1) (run,1) (dobj,1) (VB,1) 
neck/NN	(NN,1) (root,1) (VBD,1) (had,1) (neck,1) (nmod:on,1) 
urgency/NN	(NN,1) (urgency,1) (root,1) (felt,1) (VBD,1) (dobj,1) 
Blinding/NNP	(JJ,1) (NNP,1) (blind,1) (Blinding,1) (root,1) (nmod:before,1) 
three/CD	(CD,1) (NNS,2) (nummod,1) (root,1) (men,1) (three,1) (appos,1) (women,1) 
imagine/VB	(imagine,1) (root,1) (VB,1) 
as/IN	(nmod:as,1) (took,1) (NNS,1) (as,1) (IN,1) (ravioli,1) (root,1) (VBD,1) (case,1) 
need/VBP	(escort,1) (need,1) (VBP,1) (root,1) (parataxis,1) (VB,1) 
arm/NN	(NN,1) (took,1) (nmod:by,1) (root,1) (VBD,1) (arm,1) 
framed/VBN	(NN,1) (VBN,1) (framed,1) (root,1) (was,1) (VBD,1) (medium,1) (acl,1) (nsubj,1) 
torso/NN	(NN,2) (nmod:with,1) (torso,1) (acl,1) (wrapping,1) (descending,1) (standing,1) (NNS,1) (root,1) (VBG,3) (advcl,1) (nsubj,1) (dobj,1) (creature,1) (tentacles,1) 
until/IN	(IN,1) (root,1) (VBD,1) (until,1) (said,1) (mark,1) 
stand/VB	(thought,1) (root,1) (VBD,1) (stand,1) (VB,1) (xcomp,1) 
committed/VBN	(committed,1) (VBN,2) (root,1) (conj:and,1) (seen,1) 
PUPIL/NNP	(PUPIL,1) (NNP,1) (-LSB-,1) (aroused,1) (VBN,1) (root,1) (parataxis,1) (dep,1) (VBZ,1) 
aimlessly/RB	(RB,1) (advmod,1) (ccomp,1) (root,1) (stood,1) (VBD,1) (looking,1) (VBG,1) (aimlessly,1) 
6-months/JJ	(JJ,1) (6-months,1) (noticed,1) (root,1) (VBD,1) (dep,1) 
when/WRB	(advmod,1) (WRB,1) (root,1) (VBD,1) (had,1) (when,1) 
see?Who/NN	(NN,3) (see?Who,1) (root,1) (they?Who,1) (it?No,1) (parataxis,1) (nsubj,1) 
After/IN	(NN,1) (nmod:after,1) (IN,1) (root,1) (After,1) (stood,1) (VBD,1) (case,1) (minute,1) 
threw/VBD	(threw,1) (ccomp,1) (root,1) (VBD,2) (let,1) 
lived/VBD	(root,1) (VBD,1) (lived,1) 
home/NN	(NN,1) (nmod:into,1) (root,1) (VB,1) (lure,1) (home,1) 
voice/NN	(JJ,1) (voice,1) (NN,1) (warm,1) (root,1) (nsubj,1) 
movements/NNS	(see,1) (NNS,1) (ccomp,1) (nmod:with,1) (root,1) (movements,1) (VB,2) (connect,1) 
much/JJ	(nmod:as,1) (JJ,1) (took,1) (NNS,1) (ravioli,1) (root,1) (VBD,1) (amod,1) (much,1) 
violence/NN	(NN,1) (VBN,1) (root,1) (dobj,1) (seen,1) (violence,1) 
bearded/JJ	(NN,1) (JJ,1) (root,1) (bearded,1) (Shouted,1) (saviour,1) (VB,1) (dobj,1) (amod,1) 
best/JJS	(avoided,1) (JJS,1) (root,1) (VBD,1) (best,1) (dobj,1) 
hell/NN	(JJ,1) (NN,2) (nmod:poss,1) (What,1) (sun,1) (hell,1) (compound,1) (NNS,1) (brightness,1) (nmod:in,1) (root,1) (WP,1) (nsubj,1) (irritated,1) 
butcher/VB	(root,1) (butcher,1) (conj:and,1) (VB,2) (lure,1) 
said/VBD	(root,1) (VBD,1) (said,1) 
that/IN	(that,1) (IN,1) (tell,1) (root,1) (VBD,1) (opened,1) (parataxis,1) (VB,1) (mark,1) 
pebbles/NNS	(NNS,1) (pebbles,1) (allowed,1) (root,1) (VBD,1) (dobj,1) 
chin/NN	(NN,2) (itch,1) (chin,1) (root,1) (feel,1) (VB,1) (nmod:on,1) (compound,1) 
no/DT	(DT,1) (no,1) (neg,1) (NNS,1) (root,1) (VBD,1) (had,1) (hopes,1) (dobj,1) 
